Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Hartford County, Connecticut",892389,*****,636425,6408,120762,3328,2763,1423,45365,1598,82,103,57288,6311,29704,4122,7155,2633,22549,3721
"Litchfield County, Connecticut",182571,*****,170796,1034,3345,999,196,234,4476,385,0,200,1734,930,2024,934,91,141,1933,912
"Middlesex County, Connecticut",163329,*****,145795,740,8763,996,5,11,4893,420,0,200,791,526,3082,1091,433,445,2649,997
"New Haven County, Connecticut",856875,*****,635115,6494,110901,4386,1827,1568,35579,1564,423,312,45612,6241,27418,4272,4234,1626,23184,3832
"New London County, Connecticut",269801,*****,218961,2702,15524,1751,1730,666,12084,875,59,76,9528,2299,11915,2713,1413,745,10502,2516
"Tolland County, Connecticut",151118,*****,134939,814,5338,502,0,200,7366,465,0,200,1364,817,2111,706,248,350,1863,654
"Windham County, Connecticut",116192,*****,103169,1816,3606,1551,555,618,1806,342,0,200,2263,1204,4793,1128,614,544,4179,1231
"Kent County, Delaware",174827,*****,115964,1739,43984,1876,961,256,3125,1228,9,20,2543,1544,8241,2416,530,457,7711,2391
"New Castle County, Delaware",556987,*****,361605,3892,138491,3505,1877,872,29993,839,981,864,10592,3549,13448,2639,907,651,12541,2486
"Sussex County, Delaware",220251,*****,181522,2118,27436,1033,1217,441,2528,533,1063,1513,2460,1514,4025,1251,678,507,3347,1110
"District of Columbia, District of Columbia",681170,*****,277268,3530,320554,2554,2004,567,26436,1256,41,68,37132,4302,17735,2345,2127,919,15608,2127
"Alachua County, Florida",263496,*****,182119,1703,52833,1949,1166,370,16798,633,524,501,2594,1201,7462,2052,1142,593,6320,1931
"Bay County, Florida",183974,*****,151108,1084,20489,1156,317,314,5077,609,34,65,1066,828,5883,1417,317,294,5566,1358
"Brevard County, Florida",579130,*****,478586,3797,57238,2989,1254,893,14164,972,170,165,10763,3583,16955,2971,1275,684,15680,2942
"Broward County, Florida",1909632,*****,1163610,9700,545324,6861,5993,2348,69401,2857,1726,782,63148,8901,60430,6325,11417,3238,49013,6025
