Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Montgomery County, Pennsylvania",821725,*****,654626,2723,73076,2155,1230,724,60749,1567,295,360,9751,2699,21998,2656,2402,993,19596,2615
"Northampton County, Pennsylvania",302294,*****,262942,3188,15889,1760,459,235,8454,554,0,174,4759,1723,9791,3398,1550,816,8241,3196
"Northumberland County, Pennsylvania",92541,*****,87742,612,2471,387,127,148,432,137,0,174,665,584,1104,443,186,171,918,420
"Philadelphia County, Pennsylvania",1567872,*****,634111,9099,661032,6667,5521,1410,110733,2985,480,298,104892,8590,51103,5880,10716,3221,40387,5480
"Schuylkill County, Pennsylvania",143573,*****,133893,1111,4370,714,288,158,829,238,0,174,2261,1132,1932,881,398,340,1534,801
"Somerset County, Pennsylvania",75061,*****,71676,425,2031,556,69,70,380,414,0,174,163,126,742,246,53,115,689,229
"Washington County, Pennsylvania",207981,*****,194397,1099,6242,958,271,318,1981,497,0,174,1153,1073,3937,1022,21,36,3916,1024
"Westmoreland County, Pennsylvania",355458,*****,336698,631,9544,1265,75,108,3691,268,34,66,797,458,4619,1164,202,201,4417,1102
"York County, Pennsylvania",443744,*****,391834,2860,25561,2355,943,475,6918,424,231,303,7853,2749,10404,2081,737,428,9667,2137
"Kent County, Rhode Island",164614,*****,151589,1171,2738,588,196,271,3675,1206,128,203,1900,1029,4388,1449,135,157,4253,1437
"Newport County, Rhode Island",82784,*****,74333,962,3077,884,130,221,1864,282,310,481,1106,935,1964,1061,318,412,1646,890
"Providence County, Rhode Island",633673,*****,460377,6033,58806,4016,4643,1674,26713,1790,572,432,57811,5959,24751,4175,6326,2142,18425,3266
"Washington County, Rhode Island",126288,*****,117411,783,2307,344,293,276,3352,755,427,652,1202,625,1296,519,28,55,1268,516
"Aiken County, South Carolina",167458,*****,119571,976,41026,1785,477,497,1938,235,125,146,1057,820,3264,1696,101,139,3163,1696
"Anderson County, South Carolina",196569,*****,156660,1797,32543,1582,309,215,1935,355,0,207,1944,1655,3178,1071,52,96,3126,1064
"Beaufort County, South Carolina",183149,*****,138177,2323,33588,1567,659,964,2367,548,106,81,4005,2108,4247,1463,538,483,3709,1301
"Berkeley County, South Carolina",210898,*****,141762,1575,51487,1224,644,511,5728,734,0,207,5460,1815,5817,1429,51,98,5766,1426
"Charleston County, South Carolina",396484,*****,271106,1352,109189,2188,626,365,6001,788,0,207,2356,1121,7206,2292,217,224,6989,2254
"Dorchester County, South Carolina",153773,*****,103108,2655,37763,2089,1078,656,2803,602,0,207,3173,2716,5848,2415,139,163,5709,2391
"Florence County, South Carolina",138742,*****,75530,455,59522,600,113,135,1751,366,0,207,282,258,1544,881,30,47,1514,881
"Greenville County, South Carolina",498766,*****,372089,3759,91056,1634,1844,1265,11379,821,439,364,11693,3407,10266,2497,1205,538,9061,2381
"Greenwood County, South Carolina",70133,*****,45687,385,21328,1364,0,207,918,207,0,207,1265,1363,935,1098,96,69,839,1098
"Horry County, South Carolina",322342,*****,260680,2735,44012,1220,1727,569,4425,728,192,305,6660,2714,4646,1732,1213,786,3433,1445
"Lancaster County, South Carolina",89594,*****,64846,1610,20723,798,0,207,412,410,0,207,3039,1617,574,560,0,207,574,560
"Laurens County, South Carolina",66777,*****,47288,788,14837,1370,128,124,981,714,471,609,1017,644,2055,988,348,356,1707,845
"Lexington County, South Carolina",286196,*****,227447,1743,41478,1660,627,354,4965,917,111,143,3819,1715,7749,1894,400,320,7349,1842
"Oconee County, South Carolina",76355,*****,67461,950,5645,648,61,105,404,232,0,207,952,965,1832,672,158,191,1674,670
"Orangeburg County, South Carolina",87903,*****,29564,226,55797,741,606,260,529,418,0,207,23,40,1384,900,0,207,1384,900
"Pickens County, South Carolina",122863,*****,108555,883,8542,781,0,207,3013,449,109,175,841,690,1803,839,342,227,1461,805
"Richland County, South Carolina",409549,*****,186850,1912,190887,3099,695,571,10198,1052,545,671,8467,2257,11907,2577,937,445,10970,2551
"Spartanburg County, South Carolina",301463,*****,221226,2103,61262,1634,197,215,6514,747,30,54,4830,2092,7404,2001,695,492,6709,1856
"Sumter County, South Carolina",107396,*****,51345,1072,51510,999,104,121,1659,286,142,255,400,426,2236,1546,258,370,1978,1302
"York County, South Carolina",258526,*****,191332,2391,48293,1551,2027,397,4854,1062,115,143,5796,2301,6109,2041,603,590,5506,1977
"Minnehaha County, South Dakota",187318,*****,161240,1477,9385,1098,3948,1032,4477,340,67,88,2887,1487,5314,1452,549,409,4765,1453
"Pennington County, South Dakota",109372,*****,90775,1003,1426,272,10308,1843,1444,239,14,28,254,239,5151,1604,712,733,4439,1448
"Anderson County, Tennessee",75936,*****,69275,684,3191,686,0,204,1208,164,87,137,762,680,1413,764,0,204,1413,764
"Blount County, Tennessee",128670,*****,120416,829,3897,1135,113,181,914,332,81,144,242,343,3007,1113,160,223,2847,1091
"Bradley County, Tennessee",104490,*****,95746,475,5734,985,629,546,243,222,46,77,759,499,1333,853,0,204,1333,853
"Davidson County, Tennessee",684410,*****,442201,3305,187329,2628,1398,752,25891,908,605,204,10795,3237,16191,3144,1099,808,15092,3040
"Greene County, Tennessee",68615,*****,64883,485,1404,840,168,170,208,179,0,204,349,314,1603,852,300,466,1303,901
"Hamilton County, Tennessee",357738,*****,271063,2680,70591,3106,499,334,6865,857,0,204,924,566,7796,1923,1073,865,6723,1930
"Knox County, Tennessee",456132,*****,390124,2142,40267,1455,1780,788,10650,682,261,310,4973,2154,8077,1772,359,360,7718,1734
"Madison County, Tennessee",97663,*****,58095,317,37031,683,53,91,1017,253,0,204,381,469,1086,524,115,169,971,504
"Maury County, Tennessee",89981,*****,75419,1081,10898,1143,122,202,70,127,0,204,1046,783,2426,1208,305,338,2121,1128
"Montgomery County, Tennessee",195734,*****,140854,1290,37819,2300,1383,427,5439,711,1446,1851,2057,1392,6736,1537,648,531,6088,1457
"Putnam County, Tennessee",75931,*****,71824,196,661,505,0,204,1664,1111,0,204,14,15,1768,1018,0,204,1768,1018
"Robertson County, Tennessee",69165,*****,62171,410,4986,737,125,104,429,428,0,204,200,263,1254,623,0,204,1254,623
"Rutherford County, Tennessee",308251,*****,239190,2389,43917,1476,755,613,10482,1122,0,204,3974,1937,9933,2159,793,815,9140,2021
"Sevier County, Tennessee",96673,*****,91955,687,561,433,374,346,500,658,0,204,614,536,2669,820,59,79,2610,818
"Shelby County, Tennessee",934603,*****,360410,4333,499045,3905,2855,1548,22771,1104,165,114,31109,4269,18248,3972,1624,689,16624,3860
"Sullivan County, Tennessee",156667,*****,147950,831,2912,785,184,216,664,342,418,502,1169,890,3370,954,229,236,3141,956
"Sumner County, Tennessee",180063,*****,160406,754,13146,876,336,256,2300,611,60,99,412,589,3403,1365,359,429,3044,1212
"Washington County, Tennessee",127440,*****,116552,745,5480,938,813,711,2028,348,64,117,292,302,2211,1038,0,204,2211,1038
"Williamson County, Tennessee",219107,*****,194634,1391,9008,1242,251,305,9027,573,515,745,1127,938,4545,1408,907,828,3638,1057
"Wilson County, Tennessee",132781,*****,117941,735,9745,580,507,361,2438,177,0,204,671,585,1479,771,28,45,1451,769
"Angelina County, Texas",87791,*****,67968,2438,13621,564,1342,1626,1007,220,47,93,3217,1511,589,537,70,117,519,513
"Bastrop County, Texas",82733,*****,58948,4129,5621,1621,431,691,1293,1358,0,220,14508,4146,1932,1390,935,852,997,1116
"Bell County, Texas",340411,*****,217524,4802,82612,4037,1945,1225,9696,1262,2515,293,6984,2138,19135,2838,1038,522,18097,2907
"Bexar County, Texas",1928680,*****,1520769,13616,151997,4568,14260,5086,56054,1778,1282,601,129637,12641,54681,4931,13391,2523,41290,4075
"Bowie County, Texas",93860,*****,65905,772,22872,1071,298,369,1265,165,314,458,680,337,2526,1143,195,156,2331,1136
"Brazoria County, Texas",354195,*****,264794,3611,45897,2150,3592,2770,23012,924,13,22,9487,2503,7400,2243,606,455,6794,2232
"Brazos County, Texas",220417,*****,167258,3770,22640,1447,1067,1272,14050,445,107,163,7067,2614,8228,3241,402,287,7826,3270
"Cameron County, Texas",422135,*****,401139,3168,2142,419,341,375,3497,836,120,155,12137,3110,2759,1105,1599,879,1160,727
"Collin County, Texas",939585,*****,661559,5280,87766,2215,3583,939,132486,2859,822,85,23075,5145,30294,4275,4394,2054,25900,4207
"Comal County, Texas",134788,*****,120507,2708,3101,242,119,142,1532,293,89,134,7470,2624,1970,601,318,394,1652,442
"Coryell County, Texas",74686,*****,53879,1166,7911,1416,960,764,1656,586,558,233,788,438,8934,1915,231,243,8703,1876
"Dallas County, Texas",2574984,*****,1591187,15440,582365,4751,6506,1662,157592,2632,1393,469,159620,13528,76321,7298,20262,3848,56059,6057
"Denton County, Texas",806180,*****,599270,5987,74199,3167,3992,953,63864,2609,602,236,32029,6229,32224,4448,5108,2562,27116,3692
"Ector County, Texas",157462,*****,134245,3370,7643,1162,1069,1011,1809,220,0,220,8735,3466,3961,1361,545,368,3416,1452
"Ellis County, Texas",168499,*****,141134,1972,16525,1239,1104,770,1390,236,83,146,2379,1014,5884,1711,740,521,5144,1715
"El Paso County, Texas",837918,*****,674348,10651,30034,2357,5360,1452,11107,1119,299,316,95668,9462,21102,5236,6144,2322,14958,4742
"Fort Bend County, Texas",741237,*****,388931,7227,152115,3095,3077,1494,146796,3211,93,131,34405,6482,15820,4863,4015,3409,11805,3378
"Galveston County, Texas",329431,*****,258194,3423,43453,1946,2556,1127,11418,740,87,141,7317,2514,6406,2260,244,221,6162,2226
"Grayson County, Texas",128235,*****,111018,2382,5527,1109,1352,464,1826,375,16,30,3119,2395,5377,1299,128,164,5249,1297
"Gregg County, Texas",123745,*****,92247,1359,25793,1208,534,297,1883,207,0,220,1037,749,2251,1076,183,229,2068,1030
"Guadalupe County, Texas",155265,*****,106494,4381,11011,1388,187,173,3061,575,1657,1436,28146,4746,4709,1158,819,504,3890,1087
"Harris County, Texas",4589928,*****,2880994,23599,874306,8261,15178,3030,317740,4730,3839,1074,392701,22542,105170,10536,23519,4102,81651,8741
"Hays County, Texas",204470,*****,184248,2137,8627,838,315,202,3314,583,0,220,3753,1709,4213,1420,560,481,3653,1288
"Henderson County, Texas",79901,*****,71904,609,4775,736,928,618,53,104,223,360,402,353,1616,841,9,16,1607,842
"Hidalgo County, Texas",849843,*****,717201,14786,2922,1854,1953,1274,9403,1857,93,118,105943,13629,12328,3690,9556,3574,2772,1403
"Hunt County, Texas",92073,*****,71701,1597,7680,332,1185,142,1488,217,0,220,9273,1614,746,412,49,62,697,402
"Jefferson County, Texas",254679,*****,150261,1442,86060,794,816,427,10050,231,198,212,4262,1328,3032,1075,888,491,2144,900
"Johnson County, Texas",163274,*****,149251,1881,5440,814,1179,1014,1305,244,751,220,1997,1590,3351,1243,701,760,2650,932
"Kaufman County, Texas",118350,*****,98799,1629,12733,611,324,264,1429,209,0,220,2852,1529,2213,622,428,345,1785,484
"Liberty County, Texas",81704,*****,69437,1827,8414,775,403,241,476,694,0,220,2508,1865,466,341,57,113,409,329
"Lubbock County, Texas",303137,*****,248032,3755,21502,1511,3901,1962,5857,929,1000,1067,15506,3488,7339,1843,2176,643,5163,1555
"McLennan County, Texas",247934,*****,191192,2521,36482,772,1100,532,3858,673,149,256,9396,2141,5757,1522,1377,679,4380,1142
"Midland County, Texas",162565,*****,139118,2524,11490,1801,341,544,3386,443,88,132,4628,1858,3514,1533,1406,991,2108,1165
"Montgomery County, Texas",556203,*****,480382,5025,30394,3729,3642,2748,15327,1425,358,430,12616,3249,13484,4233,1354,930,12130,4138
"Nueces County, Texas",361350,*****,326313,2058,14774,1112,1487,1140,6628,796,211,250,5624,1646,6313,1780,2697,1016,3616,1243
"Orange County, Texas",84964,*****,75017,303,7525,259,406,364,1198,339,0,220,0,220,818,438,41,75,777,442
"Parker County, Texas",129441,*****,121518,1122,1965,514,984,386,731,293,72,139,2346,999,1825,981,389,438,1436,787
"Potter County, Texas",120832,*****,94819,1507,12161,1328,302,216,5672,1149,202,248,2918,1113,4758,1859,670,480,4088,1824
"Randall County, Texas",132501,*****,118130,1934,3530,817,998,463,2313,228,188,204,4183,1708,3159,1234,580,426,2579,1193
"Rockwall County, Texas",93978,*****,80801,1785,5936,523,54,82,2560,278,0,220,1569,980,3058,1441,97,160,2961,1439
"San Patricio County, Texas",67655,*****,63487,922,1049,241,257,226,598,213,27,49,845,570,1392,628,190,221,1202,584
"Smith County, Texas",225290,*****,170784,2599,39062,1120,1092,347,3832,314,159,242,6557,2415,3804,1413,715,614,3089,1265
"Tarrant County, Texas",2016872,*****,1367728,13789,320375,5137,9482,2044,109096,2407,2648,913,141326,14334,66217,6193,9397,2418,56820,5903
"Taylor County, Texas",136535,*****,105853,2416,10686,1066,1134,288,3333,595,8,15,11670,2489,3851,1472,1036,821,2815,1310
"Tom Green County, Texas",118386,*****,105757,1725,5937,766,506,333,1289,343,0,220,2978,1410,1919,432,277,216,1642,408
"Travis County, Texas",1199323,*****,892987,9767,99449,2843,5241,2143,76749,3081,1443,986,81863,9152,41591,5783,6673,1855,34918,5523
"Victoria County, Texas",92467,*****,80797,1750,6235,848,347,443,1396,220,164,275,2674,1466,854,513,355,347,499,388
"Webb County, Texas",271193,*****,258612,3594,1181,298,358,340,832,769,0,220,8188,3362,2022,1417,394,258,1628,1402
"Wichita County, Texas",131838,*****,104044,1943,12709,1212,1428,884,3735,546,151,188,3835,1712,5936,1956,1605,1332,4331,1414
"Williamson County, Texas",528718,*****,421797,4574,31597,2127,1678,830,35179,1421,143,233,15041,3731,23283,4275,3781,1630,19502,3798
"Cache County, Utah",122753,*****,110095,1665,968,137,373,317,3234,625,473,113,5253,1608,2357,982,174,212,2183,951
"Davis County, Utah",342281,*****,304284,3444,4795,699,1841,1105,6019,1025,2845,707,11341,3202,11156,2355,2826,1549,8330,1801
"Salt Lake County, Utah",1121354,*****,882231,8341,19235,1844,6570,1762,44706,1943,16997,1703,114439,7849,37176,4335,6520,1664,30656,3785
"Utah County, Utah",592299,*****,548560,3192,3287,730,4182,1943,8277,1354,5381,1028,5515,1793,17097,1974,1017,514,16080,1900
"Washington County, Utah",160245,*****,143282,2651,624,445,2161,730,1461,351,1646,156,7247,3020,3824,1820,1248,1259,2576,854
"Weber County, Utah",247560,*****,223579,3111,2438,961,1843,572,2914,934,281,299,9278,3134,7227,1651,836,674,6391,1655
"Chittenden County, Vermont",161531,*****,145945,591,4444,795,481,410,5969,799,44,76,1023,520,3625,1304,383,290,3242,1232
"Albemarle County, Virginia",106878,*****,86536,1204,10426,803,255,170,5383,429,70,114,1618,1153,2590,932,126,138,2464,895
"Arlington County, Virginia",230050,*****,162749,3924,19802,1221,962,316,23558,1515,411,390,13518,4075,9050,1835,755,454,8295,1827
"Bedford County, Virginia",77960,*****,69040,708,5655,549,28,52,917,286,85,142,966,409,1269,854,352,584,917,556
"Chesterfield County, Virginia",339009,*****,229400,2603,76274,2405,672,571,13052,775,254,219,8584,2811,10773,2338,656,428,10117,2289
"Fairfax County, Virginia",1138652,*****,705214,7029,110990,2336,2448,919,217179,3518,979,551,53939,6924,47903,4403,4637,1802,43266,4106
"Fauquier County, Virginia",69069,*****,59717,1016,4975,543,323,175,1296,140,0,201,313,366,2445,1208,837,908,1608,631
"Frederick County, Virginia",84421,*****,76577,860,2682,966,453,513,1173,262,0,201,854,816,2682,1019,126,146,2556,1016
"Hanover County, Virginia",104392,*****,90528,505,8977,729,281,309,1023,377,156,145,235,250,3192,786,247,279,2945,722
"Henrico County, Virginia",326501,*****,188411,1604,95882,1801,591,481,27058,1074,283,273,3972,1877,10304,2215,640,606,9664,2245
"James City County, Virginia",74404,*****,58683,1214,9516,956,36,62,1654,768,0,201,779,880,3736,1516,579,704,3157,1351
"Loudoun County, Virginia",385945,*****,258094,3380,27802,1885,1213,319,67889,2582,769,680,11962,3073,18216,3387,1996,963,16220,3251
"Montgomery County, Virginia",98602,*****,84345,660,4420,399,419,459,5442,1247,30,65,974,606,2972,1317,636,559,2336,1195
"Prince William County, Virginia",455210,*****,254644,7205,93401,2919,1594,1081,40673,1549,356,275,41139,6682,23403,3448,3472,1617,19931,2991
"Roanoke County, Virginia",94031,*****,82416,836,5908,359,232,183,2895,662,0,201,1166,863,1414,836,50,83,1364,836
"Rockingham County, Virginia",79744,*****,73927,1599,2701,1682,0,201,552,369,217,314,1130,1457,1217,560,0,201,1217,560
"Spotsylvania County, Virginia",132010,*****,94731,1276,21641,962,164,211,3101,863,49,88,7674,1376,4650,1223,612,333,4038,1099
"Stafford County, Virginia",144361,*****,96123,1681,25628,1934,666,296,5862,802,90,124,8659,1832,7333,2045,1589,915,5744,1878
"York County, Virginia",67976,*****,50925,1019,8714,1059,241,261,4245,780,612,901,566,447,2673,1029,569,485,2104,934
"Alexandria city, Virginia",155810,*****,92717,2256,34500,2083,99,159,9726,802,146,192,11250,2606,7372,2578,2103,1535,5269,2155
"Chesapeake city, Virginia",237940,*****,147623,1647,71159,1502,68,90,7197,1159,0,201,2808,1174,9085,2173,179,226,8906,2165
"Hampton city, Virginia",135410,*****,56219,1375,68730,2014,75,125,3506,678,476,422,1902,985,4502,1749,322,315,4180,1765
"Lynchburg city, Virginia",80212,*****,53004,417,23624,1486,312,391,795,418,0,201,235,214,2242,1280,57,75,2185,1280
"Newport News city, Virginia",181825,*****,86739,1439,73750,2428,430,357,4472,852,202,259,3401,1068,12831,2323,1817,1035,11014,2387
"Norfolk city, Virginia",245115,*****,115675,1776,100685,2264,832,483,9313,626,496,473,8111,2412,10003,2285,1270,765,8733,2083
"Portsmouth city, Virginia",95252,*****,38231,570,49467,1974,265,249,1626,256,1001,1558,1566,890,3096,1035,0,201,3096,1035
"Richmond city, Virginia",223170,*****,101987,985,105155,2458,650,266,4903,612,115,158,1948,750,8412,2516,451,444,7961,2517
"Roanoke city, Virginia",99660,*****,63615,1480,30307,966,68,103,3200,139,123,225,640,974,1707,860,240,338,1467,728
"Suffolk city, Virginia",89273,*****,45912,546,37324,1433,191,194,1688,285,89,118,583,352,3486,1296,287,358,3199,1323
"Virginia Beach city, Virginia",452602,*****,303452,3140,82660,3299,901,444,30196,2030,175,131,9160,2661,26058,3848,2689,1123,23369,3907
"Benton County, Washington",193686,*****,161191,3525,3631,552,1070,503,4742,851,81,117,16728,4014,6243,1840,1306,983,4937,1628
"Chelan County, Washington",76338,*****,68936,2675,1393,1108,95,105,1004,623,0,198,2161,1863,2749,1918,0,198,2749,1918
"Clallam County, Washington",74570,*****,65652,630,883,315,3385,684,774,393,48,66,728,606,3100,749,0,198,3100,749
"Clark County, Washington",467018,*****,394477,3339,8011,1271,2095,739,22913,1266,3821,591,14914,3224,20787,2227,1828,891,18959,2017
"Cowlitz County, Washington",105160,*****,95117,1380,403,431,1316,873,926,391,69,117,1800,1137,5529,944,306,258,5223,977
"Franklin County, Washington",90160,*****,54718,3481,1733,745,726,471,1777,583,759,654,26894,3677,3553,1611,845,900,2708,1329
"Grant County, Washington",93546,*****,59251,2747,558,652,843,643,773,348,0,198,26679,3407,5442,1989,2477,1554,2965,1184
"Grays Harbor County, Washington",71628,*****,62373,1000,1187,425,2996,1183,1304,274,132,220,514,574,3122,1014,301,380,2821,894
"Island County, Washington",82636,*****,70785,982,1993,666,898,393,3901,601,318,114,914,816,3827,1012,132,222,3695,967
"King County, Washington",2149970,*****,1393480,7098,130762,5248,11288,1961,361162,6598,17123,1501,97649,7692,138506,9573,9465,1932,129041,9252
"Kitsap County, Washington",264811,*****,213321,1654,6587,1225,3022,838,11318,1856,2204,539,6781,1787,21578,2989,1814,1239,19764,2578
"Lewis County, Washington",77066,*****,69504,1277,542,421,1279,651,932,341,26,46,1836,1122,2947,1005,569,587,2378,779
"Pierce County, Washington",861312,*****,629794,5497,55912,4015,10825,2513,52850,2966,12192,1522,28744,5716,70995,6557,2328,907,68667,6442
"Skagit County, Washington",123681,*****,102076,2965,736,168,2356,569,2563,460,354,62,11035,3087,4561,971,872,575,3689,700
"Snohomish County, Washington",787620,*****,598184,5306,24290,2058,7930,1853,80706,2612,4176,758,27135,5536,45199,4059,4944,1612,40255,3900
"Spokane County, Washington",499072,*****,437088,2159,9113,1714,8027,2324,11616,1668,2794,359,9051,2441,21383,3053,1850,1071,19533,2927
"Thurston County, Washington",275222,*****,226065,1574,8506,1508,3433,917,16030,1379,2555,486,2870,1198,15763,1976,1097,728,14666,1881
"Whatcom County, Washington",216800,*****,178402,1867,2619,469,6037,828,9298,1242,524,256,11147,2125,8773,1807,476,412,8297,1732
"Yakima County, Washington",249636,*****,194416,4876,3499,2488,10785,973,2502,726,35,69,30169,5097,8230,2109,1946,1218,6284,1880
"Berkeley County, West Virginia",113525,*****,98635,989,10472,757,271,341,902,484,0,193,1605,909,1640,732,199,316,1441,664
"Cabell County, West Virginia",95987,*****,87445,246,4977,1005,15,28,1307,201,0,193,149,179,2094,1013,159,168,1935,993
"Kanawha County, West Virginia",186241,*****,164796,462,13019,1526,439,365,2148,616,0,193,194,194,5645,1737,37,81,5608,1720
"Monongalia County, West Virginia",104622,*****,93692,588,4161,879,51,92,3845,382,0,193,630,534,2243,985,160,256,2083,962
"Raleigh County, West Virginia",76601,*****,66581,898,5681,1084,276,433,590,582,0,193,945,775,2528,854,65,105,2463,859
"Brown County, Wisconsin",260401,*****,221450,2585,5768,1026,7072,854,7972,818,22,42,8699,2404,9418,2782,3046,2106,6372,1681
"Dane County, Wisconsin",531273,*****,443862,3386,25227,2356,2137,1194,30922,1213,243,227,11260,3580,17622,2706,1777,960,15845,2708
"Dodge County, Wisconsin",88068,*****,85269,662,1584,492,105,89,107,97,0,147,149,141,854,424,0,147,854,424
"Eau Claire County, Wisconsin",102965,*****,95273,189,764,455,463,260,4619,235,28,57,173,192,1645,689,90,106,1555,684
"Fond du Lac County, Wisconsin",102144,*****,94027,1221,762,508,528,145,1494,364,25,53,3086,1274,2222,673,143,175,2079,733
"Jefferson County, Wisconsin",84625,*****,79619,790,757,317,135,168,270,278,140,184,1411,542,2293,671,427,340,1866,626
"Kenosha County, Wisconsin",168183,*****,143113,2055,12119,1053,827,289,2482,563,175,301,3251,1468,6216,2059,1988,1380,4228,1362
"La Crosse County, Wisconsin",118122,*****,107056,396,1327,497,217,261,5207,1096,9,18,1091,606,3215,1156,252,305,2963,1106
"Manitowoc County, Wisconsin",79536,*****,74773,375,485,206,365,227,2022,488,0,147,217,175,1674,671,224,229,1450,652
"Marathon County, Wisconsin",135603,*****,123417,670,483,271,456,220,7976,482,0,147,760,537,2511,560,62,90,2449,562
"Milwaukee County, Wisconsin",951448,*****,562559,4863,249436,2877,4836,996,40031,1189,168,153,57968,5329,36450,3942,4441,1371,32009,3810
"Outagamie County, Wisconsin",184526,*****,165748,1320,2474,630,2854,430,6610,630,65,107,3225,1173,3550,1109,409,400,3141,1057
"Ozaukee County, Wisconsin",88314,*****,82993,541,1353,233,230,264,1709,806,0,147,493,536,1536,837,395,458,1141,727
"Portage County, Wisconsin",70447,*****,66177,366,485,245,162,164,1476,766,0,147,508,366,1639,821,391,509,1248,611
"Racine County, Wisconsin",195140,*****,156136,2446,21484,1657,1268,641,2903,248,0,147,7096,2197,6253,2394,1138,773,5115,2296
"Rock County, Wisconsin",161620,*****,140747,1708,7575,758,563,286,1734,518,0,147,6456,1782,4545,1258,381,375,4164,1223
"St. Croix County, Wisconsin",88029,*****,84757,199,746,315,297,210,769,287,6,16,143,186,1311,466,7,18,1304,462
"Sheboygan County, Wisconsin",115427,*****,104025,620,2495,469,291,177,6384,511,0,147,251,267,1981,704,32,54,1949,693
"Walworth County, Wisconsin",102959,*****,96375,1364,1042,336,90,83,1026,233,0,147,2260,1210,2166,606,607,409,1559,473
"Washington County, Wisconsin",134296,*****,127485,891,1381,577,305,367,2081,564,126,150,1397,911,1521,746,187,212,1334,717
"Waukesha County, Wisconsin",398424,*****,367790,1933,6221,1229,1459,747,13818,863,156,185,3701,1850,5279,1766,452,477,4827,1666
"Winnebago County, Wisconsin",169886,*****,156755,812,3786,409,1004,417,4567,476,0,147,1112,663,2662,783,78,95,2584,796
"Wood County, Wisconsin",73107,*****,69526,299,853,71,347,157,1435,230,0,147,24,35,922,413,0,147,922,413
"Laramie County, Wyoming",98136,*****,88958,835,2690,939,443,610,1200,434,362,508,1209,527,3274,1107,276,278,2998,1106
"Natrona County, Wyoming",81039,*****,76905,270,1391,673,303,316,435,351,0,197,176,171,1829,596,0,197,1829,596
