Geography,Estimate; Total
"Clark County, Nevada",2155664
"Washoe County, Nevada",453616
"Cheshire County, New Hampshire",75774
"Grafton County, New Hampshire",88888
"Hillsborough County, New Hampshire",407761
"Merrimack County, New Hampshire",148582
"Rockingham County, New Hampshire",303251
"Strafford County, New Hampshire",127428
"Atlantic County, New Jersey",270991
"Bergen County, New Jersey",939151
"Burlington County, New Jersey",449284
"Camden County, New Jersey",510150
"Cape May County, New Jersey",94430
"Cumberland County, New Jersey",153797
"Essex County, New Jersey",796914
"Gloucester County, New Jersey",292330
"Hudson County, New Jersey",677983
"Hunterdon County, New Jersey",124676
"Mercer County, New Jersey",371023
"Middlesex County, New Jersey",837073
"Monmouth County, New Jersey",625846
"Morris County, New Jersey",498423
"Ocean County, New Jersey",592497
"Passaic County, New Jersey",507945
"Salem County, New Jersey",63436
"Somerset County, New Jersey",333751
"Sussex County, New Jersey",142522
"Union County, New Jersey",555630
"Warren County, New Jersey",106617
"Bernalillo County, New Mexico",676953
"Chaves County, New Mexico",65282
"Do–a Ana County, New Mexico",214207
"Lea County, New Mexico",69749
"McKinley County, New Mexico",74923
"Otero County, New Mexico",65410
"Sandoval County, New Mexico",142025
"San Juan County, New Mexico",115079
"Santa Fe County, New Mexico",148651
"Valencia County, New Mexico",75626
"Albany County, New York",308846
"Bronx County, New York",1455720
"Broome County, New York",195334
"Cattaraugus County, New York",77677
"Cayuga County, New York",77861
"Chautauqua County, New York",129504
"Chemung County, New York",86322
"Clinton County, New York",81073
"Dutchess County, New York",294473
"Erie County, New York",921046
"Jefferson County, New York",114006
"Kings County, New York",2629150
"Livingston County, New York",64257
"Madison County, New York",71329
"Monroe County, New York",747727
"Nassau County, New York",1361500
"New York County, New York",1643734
"Niagara County, New York",211758
"Oneida County, New York",231190
"Onondaga County, New York",466194
"Ontario County, New York",109828
"Orange County, New York",379210
"Oswego County, New York",118987
"Putnam County, New York",98900
"Queens County, New York",2333054
"Rensselaer County, New York",160070
"Richmond County, New York",476015
"Rockland County, New York",326780
"St. Lawrence County, New York",110038
"Saratoga County, New York",227053
"Schenectady County, New York",154553
"Steuben County, New York",96940
"Suffolk County, New York",1492583
"Sullivan County, New York",74801
"Tompkins County, New York",104871
"Ulster County, New York",179225
"Warren County, New York",64567
"Wayne County, New York",90798
"Westchester County, New York",974542
"Alamance County, North Carolina",159688
"Brunswick County, North Carolina",126953
"Buncombe County, North Carolina",256088
"Burke County, North Carolina",88851
"Cabarrus County, North Carolina",201590
"Caldwell County, North Carolina",81449
"Carteret County, North Carolina",68890
"Catawba County, North Carolina",156459
"Chatham County, North Carolina",72243
"Cleveland County, North Carolina",97144
"Craven County, North Carolina",103445
"Cumberland County, North Carolina",327127
"Davidson County, North Carolina",164926
"Durham County, North Carolina",306212
"Forsyth County, North Carolina",371511
"Gaston County, North Carolina",216965
"Guilford County, North Carolina",521330
"Harnett County, North Carolina",130881
"Henderson County, North Carolina",114209
"Iredell County, North Carolina",172916
"Johnston County, North Carolina",191450
"Lincoln County, North Carolina",81168
"Mecklenburg County, North Carolina",1054835
"Moore County, North Carolina",95776
"Nash County, North Carolina",94005
"New Hanover County, North Carolina",223483
"Onslow County, North Carolina",187136
"Orange County, North Carolina",141796
"Pitt County, North Carolina",177220
"Randolph County, North Carolina",143416
"Robeson County, North Carolina",133235
"Rockingham County, North Carolina",91393
"Rowan County, North Carolina",139933
"Rutherford County, North Carolina",66421
"Surry County, North Carolina",72113
"Union County, North Carolina",226606
"Wake County, North Carolina",1046791
"Wayne County, North Carolina",124150
"Wilkes County, North Carolina",68740
"Wilson County, North Carolina",81661
"Burleigh County, North Dakota",94487
"Cass County, North Dakota",175249
"Grand Forks County, North Dakota",71083
"Ward County, North Dakota",70210
"Allen County, Ohio",103742
"Ashtabula County, Ohio",98231
"Athens County, Ohio",66186
"Belmont County, Ohio",68673
"Butler County, Ohio",377537
"Clark County, Ohio",134786
"Clermont County, Ohio",203022
"Columbiana County, Ohio",103685
"Cuyahoga County, Ohio",1249352
"Delaware County, Ohio",196463
"Erie County, Ohio",75107
"Fairfield County, Ohio",152597
"Franklin County, Ohio",1264518
"Geauga County, Ohio",94060
"Greene County, Ohio",164765
"Hamilton County, Ohio",809099
"Hancock County, Ohio",75872
"Jefferson County, Ohio",66704
"Lake County, Ohio",228614
"Licking County, Ohio",172198
"Lorain County, Ohio",306365
"Lucas County, Ohio",432488
"Mahoning County, Ohio",230008
"Marion County, Ohio",65096
"Medina County, Ohio",177221
"Miami County, Ohio",104679
"Montgomery County, Ohio",531239
"Muskingum County, Ohio",86068
"Portage County, Ohio",161921
"Richland County, Ohio",121107
"Ross County, Ohio",77000
"Scioto County, Ohio",76088
"Stark County, Ohio",373612
"Summit County, Ohio",540300
"Trumbull County, Ohio",201825
"Tuscarawas County, Ohio",92420
"Warren County, Ohio",227063
"Wayne County, Ohio",116470
"Wood County, Ohio",130219
"Canadian County, Oklahoma",136532
"Cleveland County, Oklahoma",278655
"Comanche County, Oklahoma",122136
"Creek County, Oklahoma",71312
"Muskogee County, Oklahoma",69477
"Oklahoma County, Oklahoma",782970
"Payne County, Oklahoma",81131
"Pottawatomie County, Oklahoma",72290
"Rogers County, Oklahoma",91766
"Tulsa County, Oklahoma",642940
"Wagoner County, Oklahoma",77679
"Benton County, Oregon",89385
"Clackamas County, Oregon",408062
"Deschutes County, Oregon",181307
"Douglas County, Oregon",108457
"Jackson County, Oregon",216527
"Josephine County, Oregon",85904
"Klamath County, Oregon",66443
"Lane County, Oregon",369519
