Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Coweta County, Georgia",140526,106080,25153,88,1696,97,3424,3988,93,3895
"DeKalb County, Georgia",740321,259015,403352,5253,45634,101,9586,17380,4487,12893
"Dougherty County, Georgia",90017,24254,62375,258,799,50,666,1615,26,1589
"Douglas County, Georgia",142224,67268,67469,73,2242,0,2812,2360,445,1915
"Fayette County, Georgia",111627,76827,23905,217,4945,0,2120,3613,697,2916
"Floyd County, Georgia",96560,74482,13603,14,1623,0,4690,2148,146,2002
"Forsyth County, Georgia",221009,179397,7490,387,25847,0,3346,4542,533,4009
"Fulton County, Georgia",1023336,455532,447187,9001,68259,879,11948,30530,3670,26860
"Glynn County, Georgia",84502,58096,21354,317,1114,211,1095,2315,316,1999
"Gwinnett County, Georgia",907135,438099,248723,1346,103900,82,88207,26778,6261,20517
"Hall County, Georgia",196637,168678,14687,412,3451,99,4766,4544,877,3667
"Henry County, Georgia",221768,110602,94657,0,7935,0,2709,5865,960,4905
"Houston County, Georgia",152122,93711,45011,622,4623,0,1763,6392,1502,4890
"Liberty County, Georgia",62570,29415,25722,295,940,12,1916,4270,912,3358
"Lowndes County, Georgia",114628,67078,44310,256,418,113,878,1575,298,1277
"Muscogee County, Georgia",197485,86603,90127,1159,4160,0,4517,10919,3340,7579
"Paulding County, Georgia",155825,115718,34362,301,533,401,1798,2712,339,2373
"Richmond County, Georgia",201647,76547,114495,584,4084,848,2376,2713,195,2518
"Rockdale County, Georgia",89355,36218,48429,0,1798,0,1944,966,115,851
"Troup County, Georgia",70005,41740,25277,45,1423,0,156,1364,502,862
"Walton County, Georgia",90184,69810,16332,0,1369,112,1962,599,7,592
"Whitfield County, Georgia",104589,90028,4714,1954,1281,0,5304,1308,172,1136
"Hawaii County, Hawaii",198449,64714,1586,293,47415,26900,2422,55119,791,54328
"Honolulu County, Hawaii",992605,209223,23269,1636,421281,93165,8029,236002,7054,228948
"Kauai County, Hawaii",72029,23326,621,563,24200,5678,183,17458,223,17235
"Maui County, Hawaii",165379,60712,422,157,50531,18797,1687,33073,1103,31970
"Ada County, Idaho",444028,402851,6535,2026,11778,377,6847,13614,1793,11821
"Bannock County, Idaho",84377,74610,280,3335,1480,0,2279,2393,258,2135
"Bonneville County, Idaho",112232,99184,0,843,1521,0,7841,2843,452,2391
"Canyon County, Idaho",211698,171868,48,2689,2978,835,27575,5705,1372,4333
"Kootenai County, Idaho",154311,143862,1029,2970,1352,167,1836,3095,213,2882
"Twin Falls County, Idaho",83514,77172,677,1065,1389,76,2184,951,167,784
"Champaign County, Illinois",208419,151060,27686,331,21908,62,1244,6128,318,5810
"Cook County, Illinois",5203499,2919459,1223763,14508,371491,1939,537416,134923,37394,97529
"DeKalb County, Illinois",104528,86721,7396,117,2439,0,4515,3340,303,3037
"DuPage County, Illinois",929368,714083,45918,1060,107270,481,35093,25463,5955,19508
"Kane County, Illinois",531715,374272,29929,2405,21320,33,91408,12348,4764,7584
"Kankakee County, Illinois",110008,86918,17306,394,1023,0,2799,1568,614,954
"Kendall County, Illinois",124695,100133,8271,350,3882,0,7740,4319,2376,1943
