,Geography,Estimate; Total
621,"Lycoming County, Pennsylvania",115248
622,"Mercer County, Pennsylvania",112913
623,"Monroe County, Pennsylvania",166098
624,"Montgomery County, Pennsylvania",821725
625,"Northampton County, Pennsylvania",302294
626,"Northumberland County, Pennsylvania",92541
627,"Philadelphia County, Pennsylvania",1567872
628,"Schuylkill County, Pennsylvania",143573
629,"Somerset County, Pennsylvania",75061
630,"Washington County, Pennsylvania",207981
631,"Westmoreland County, Pennsylvania",355458
632,"York County, Pennsylvania",443744
633,"Kent County, Rhode Island",164614
634,"Newport County, Rhode Island",82784
635,"Providence County, Rhode Island",633673
636,"Washington County, Rhode Island",126288
637,"Aiken County, South Carolina",167458
638,"Anderson County, South Carolina",196569
639,"Beaufort County, South Carolina",183149
640,"Berkeley County, South Carolina",210898
641,"Charleston County, South Carolina",396484
642,"Darlington County, South Carolina",67234
643,"Dorchester County, South Carolina",153773
644,"Florence County, South Carolina",138742
645,"Greenville County, South Carolina",498766
646,"Greenwood County, South Carolina",70133
647,"Horry County, South Carolina",322342
648,"Lancaster County, South Carolina",89594
649,"Laurens County, South Carolina",66777
650,"Lexington County, South Carolina",286196
651,"Oconee County, South Carolina",76355
652,"Orangeburg County, South Carolina",87903
653,"Pickens County, South Carolina",122863
654,"Richland County, South Carolina",409549
655,"Spartanburg County, South Carolina",301463
656,"Sumter County, South Carolina",107396
657,"York County, South Carolina",258526
658,"Minnehaha County, South Dakota",187318
659,"Pennington County, South Dakota",109372
660,"Anderson County, Tennessee",75936
661,"Blount County, Tennessee",128670
662,"Bradley County, Tennessee",104490
663,"Davidson County, Tennessee",684410
664,"Greene County, Tennessee",68615
665,"Hamilton County, Tennessee",357738
666,"Knox County, Tennessee",456132
667,"Madison County, Tennessee",97663
668,"Maury County, Tennessee",89981
669,"Montgomery County, Tennessee",195734
670,"Putnam County, Tennessee",75931
671,"Robertson County, Tennessee",69165
672,"Rutherford County, Tennessee",308251
673,"Sevier County, Tennessee",96673
674,"Shelby County, Tennessee",934603
675,"Sullivan County, Tennessee",156667
676,"Sumner County, Tennessee",180063
677,"Washington County, Tennessee",127440
678,"Williamson County, Tennessee",219107
679,"Wilson County, Tennessee",132781
680,"Angelina County, Texas",87791
681,"Bastrop County, Texas",82733
682,"Bell County, Texas",340411
683,"Bexar County, Texas",1928680
684,"Bowie County, Texas",93860
685,"Brazoria County, Texas",354195
686,"Brazos County, Texas",220417
687,"Cameron County, Texas",422135
688,"Collin County, Texas",939585
689,"Comal County, Texas",134788
690,"Coryell County, Texas",74686
691,"Dallas County, Texas",2574984
692,"Denton County, Texas",806180
693,"Ector County, Texas",157462
694,"Ellis County, Texas",168499
695,"El Paso County, Texas",837918
696,"Fort Bend County, Texas",741237
697,"Galveston County, Texas",329431
698,"Grayson County, Texas",128235
699,"Gregg County, Texas",123745
700,"Guadalupe County, Texas",155265
701,"Harris County, Texas",4589928
702,"Harrison County, Texas",66534
703,"Hays County, Texas",204470
704,"Henderson County, Texas",79901
705,"Hidalgo County, Texas",849843
706,"Hunt County, Texas",92073
707,"Jefferson County, Texas",254679
708,"Johnson County, Texas",163274
709,"Kaufman County, Texas",118350
710,"Liberty County, Texas",81704
711,"Lubbock County, Texas",303137
712,"McLennan County, Texas",247934
713,"Midland County, Texas",162565
714,"Montgomery County, Texas",556203
715,"Nacogdoches County, Texas",65806
716,"Nueces County, Texas",361350
717,"Orange County, Texas",84964
718,"Parker County, Texas",129441
719,"Potter County, Texas",120832
720,"Randall County, Texas",132501
721,"Rockwall County, Texas",93978
722,"San Patricio County, Texas",67655
723,"Smith County, Texas",225290
724,"Tarrant County, Texas",2016872
725,"Taylor County, Texas",136535
726,"Tom Green County, Texas",118386
727,"Travis County, Texas",1199323
728,"Victoria County, Texas",92467
729,"Walker County, Texas",71484
730,"Webb County, Texas",271193
731,"Wichita County, Texas",131838
732,"Williamson County, Texas",528718
733,"Cache County, Utah",122753
734,"Davis County, Utah",342281
735,"Salt Lake County, Utah",1121354
736,"Utah County, Utah",592299
737,"Washington County, Utah",160245
738,"Weber County, Utah",247560
739,"Chittenden County, Vermont",161531
740,"Albemarle County, Virginia",106878
741,"Arlington County, Virginia",230050
742,"Augusta County, Virginia",74997
743,"Bedford County, Virginia",77960
744,"Chesterfield County, Virginia",339009
745,"Fairfax County, Virginia",1138652
746,"Fauquier County, Virginia",69069
747,"Frederick County, Virginia",84421
748,"Hanover County, Virginia",104392
749,"Henrico County, Virginia",326501
750,"James City County, Virginia",74404
751,"Loudoun County, Virginia",385945
752,"Montgomery County, Virginia",98602
753,"Prince William County, Virginia",455210
754,"Roanoke County, Virginia",94031
755,"Rockingham County, Virginia",79744
756,"Spotsylvania County, Virginia",132010
757,"Stafford County, Virginia",144361
758,"York County, Virginia",67976
759,"Alexandria city, Virginia",155810
760,"Chesapeake city, Virginia",237940
761,"Hampton city, Virginia",135410
762,"Lynchburg city, Virginia",80212
763,"Newport News city, Virginia",181825
764,"Norfolk city, Virginia",245115
765,"Portsmouth city, Virginia",95252
766,"Richmond city, Virginia",223170
767,"Roanoke city, Virginia",99660
768,"Suffolk city, Virginia",89273
769,"Virginia Beach city, Virginia",452602
770,"Benton County, Washington",193686
771,"Chelan County, Washington",76338
772,"Clallam County, Washington",74570
773,"Clark County, Washington",467018
774,"Cowlitz County, Washington",105160
775,"Franklin County, Washington",90160
776,"Grant County, Washington",93546
777,"Grays Harbor County, Washington",71628
778,"Island County, Washington",82636
779,"King County, Washington",2149970
780,"Kitsap County, Washington",264811
781,"Lewis County, Washington",77066
782,"Pierce County, Washington",861312
783,"Skagit County, Washington",123681
784,"Snohomish County, Washington",787620
785,"Spokane County, Washington",499072
786,"Thurston County, Washington",275222
787,"Whatcom County, Washington",216800
788,"Yakima County, Washington",249636
789,"Berkeley County, West Virginia",113525
790,"Cabell County, West Virginia",95987
791,"Harrison County, West Virginia",68400
792,"Kanawha County, West Virginia",186241
793,"Monongalia County, West Virginia",104622
794,"Raleigh County, West Virginia",76601
795,"Wood County, West Virginia",85643
796,"Brown County, Wisconsin",260401
797,"Dane County, Wisconsin",531273
798,"Dodge County, Wisconsin",88068
799,"Eau Claire County, Wisconsin",102965
