,Geography,Total; Estimate; All households,Mean income (dollars); Estimate; All households,Total; Estimate; All households - With earnings,Mean income (dollars); Estimate; All households - With earnings,"Total; Estimate; All households - With interest, dividends, or net rental income","Mean income (dollars); Estimate; All households - With interest, dividends, or net rental income",Total; Estimate; All households - With Social Security income,Mean income (dollars); Estimate; All households - With Social Security income,Total; Estimate; All households - With Supplemental Security Income (SSI),Mean income (dollars); Estimate; All households - With Supplemental Security Income (SSI),Total; Estimate; All households - With cash public assistance income,Mean income (dollars); Estimate; All households - With cash public assistance income,Total; Estimate; All households - With retirement income,Mean income (dollars); Estimate; All households - With retirement income,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other",Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Mean income (dollars); Estimate; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Mean income (dollars); Estimate; White alone, not Hispanic or Latino",Total; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Individual income in the past 12 months
626,"Northumberland County, Pennsylvania",38098,59110,73.6,60730,21.2,8992,39.5,17741,5.5,7816,3.6,1450,24.0,18108,24845,69714,14.5,36382,35.4,52338,30.0,93615,10.1,68944,9.1,104566,0.8,161955,92541,25018,94.8,25710,2.7,N,0.1,N,0.5,32646,0.0,N,0.7,17212,1.2,4999,3.4,15001,92.7,25944,44.4,45.6,38.4
627,"Philadelphia County, Pennsylvania",580205,60857,71.4,69143,14.2,13273,28.9,15729,10.5,9244,6.1,2376,15.2,19820,309558,71283,18.2,27779,37.2,52890,22.7,119121,12.0,69086,5.6,126335,4.2,97234,1567872,24685,40.4,34365,42.2,18460,0.4,10675,7.1,23142,0.0,32912,6.7,12834,3.3,14217,14.4,13503,34.6,37539,40.7,46.7,36.0
628,"Schuylkill County, Pennsylvania",58149,60421,70.4,64337,18.3,8123,43.1,17609,5.3,9892,3.4,2291,24.9,17253,38214,71455,19.5,40179,32.2,57467,30.2,98594,10.3,61220,6.9,118125,0.9,97608,143573,25430,93.3,26137,3.0,6339,0.2,N,0.6,24518,0.0,N,1.6,15690,1.3,N,4.0,19473,91.4,26357,42.3,40.8,34.8
629,"Somerset County, Pennsylvania",29189,56742,67.3,59657,24.9,8706,42.8,17723,6.8,9292,3.7,1571,28.5,15088,19345,67505,20.9,41739,29.8,47521,31.4,94586,6.6,61830,9.4,98518,1.9,83660,75061,23227,95.5,23811,2.7,5786,0.1,N,0.5,N,0.0,N,0.2,N,1.0,N,N,N,N,N,34.3,33.1,29.5
630,"Washington County, Pennsylvania",83117,78066,73.4,80506,26.3,15596,40.0,19551,5.1,10169,2.4,1735,24.8,20687,54369,95813,16.6,54566,31.4,71170,32.9,134145,9.8,88542,7.6,127559,1.7,111906,207981,32270,93.5,33142,3.0,16366,0.1,N,1.0,41017,0.0,N,0.6,15207,1.9,15196,1.7,15803,92.4,33375,36.3,35.3,29.5
631,"Westmoreland County, Pennsylvania",148238,72166,71.7,75596,25.1,10897,39.4,20583,6.7,10650,2.9,3057,24.5,19762,99302,87698,18.8,48034,29.3,72535,31.3,114177,9.0,78869,9.8,130326,1.9,99144,355458,30677,94.7,31126,2.7,18095,0.0,N,1.0,48021,0.0,N,0.2,N,1.3,15153,1.1,20368,94.0,31179,36.5,37.1,28.9
632,"York County, Pennsylvania",169885,75945,78.1,78090,22.8,10011,34.4,20076,5.2,10116,2.3,1880,21.4,19573,117745,85352,13.6,45351,30.3,67585,33.4,107602,9.3,73148,10.6,124096,2.8,101105,443744,29610,88.3,30821,5.8,23200,0.2,66963,1.6,20708,0.1,N,1.8,18352,2.3,11045,7.2,14377,83.9,31721,28.9,28.9,22.1
633,"Kent County, Rhode Island",67747,85413,75.4,88365,20.7,25526,33.3,18619,8.7,12740,3.7,2010,20.1,22622,42186,103601,14.6,46670,29.8,91600,31.2,125868,11.0,84603,9.8,162837,3.6,137417,164614,36548,92.1,37143,1.7,32689,0.1,N,2.2,36765,0.1,N,1.2,33901,2.7,19603,4.6,22315,89.0,37700,33.9,35.3,27.5
634,"Newport County, Rhode Island",35078,96121,76.5,91288,28.8,34845,39.0,18934,4.4,11582,3.9,4269,22.6,30225,21695,113521,16.2,68842,31.1,93465,34.4,148533,9.5,104541,6.0,157988,2.8,99645,82784,41696,89.8,43610,3.7,26586,0.2,N,2.3,31743,0.4,N,1.3,N,2.4,22554,5.8,19293,85.6,44718,37.8,36.0,29.6
635,"Providence County, Rhode Island",235728,72289,74.5,77393,20.6,16960,31.4,16704,9.6,10055,3.9,3497,16.6,22568,139535,85833,14.4,40311,32.6,59465,29.3,124630,12.3,70241,8.0,144901,3.4,113858,633673,28960,72.7,33150,9.3,19756,0.7,16880,4.2,25587,0.1,N,9.1,14030,3.9,13694,22.1,16398,61.8,35763,34.4,36.2,29.7
636,"Washington County, Rhode Island",50368,98882,75.6,99423,30.8,21654,38.7,19745,2.8,10863,1.6,3948,26.3,30710,32270,124086,16.2,69626,25.4,104377,39.4,154062,7.4,126749,9.9,140815,1.7,132991,126288,39809,93.0,40423,1.8,30061,0.2,18851,2.7,49506,0.3,N,1.0,N,1.0,10092,3.1,22437,90.9,40669,36.3,36.7,30.3
637,"Aiken County, South Carolina",66751,61156,70.1,62986,14.0,10804,37.7,19504,4.3,8387,1.0,1514,24.4,27889,45805,70917,22.6,47372,36.8,56652,26.5,106396,9.6,65908,3.5,119721,1.0,67793,167458,25402,71.4,27444,24.5,18240,0.3,N,1.2,56614,0.1,N,0.6,N,1.9,8468,5.7,13973,66.4,28512,45.5,45.6,35.7
638,"Anderson County, South Carolina",75432,61089,73.2,61977,18.8,16450,38.1,18359,5.5,8739,0.8,2294,20.2,20822,49668,72866,18.5,43978,35.4,62820,28.2,98846,10.4,60962,5.9,118043,1.5,85024,196569,24573,79.7,26769,16.6,16002,0.2,14851,1.0,29748,0.0,N,1.0,N,1.6,11351,3.6,14631,77.6,26964,34.1,36.7,26.2
639,"Beaufort County, South Carolina",67932,89311,66.5,74716,31.5,44019,43.5,24040,4.0,9974,0.5,1010,29.6,44798,44966,101973,29.6,94839,29.7,103025,28.1,113591,5.7,54901,5.0,135036,2.0,79544,183149,36370,75.4,42223,18.3,18288,0.4,N,1.3,26942,0.1,12070,2.2,16708,2.3,16287,11.1,18827,67.4,44920,39.5,36.7,33.0
640,"Berkeley County, South Carolina",75202,75759,80.4,74468,14.1,12629,28.0,18327,5.2,8938,1.5,2176,23.6,28374,52165,85729,14.3,49636,36.3,72149,32.7,109484,6.9,87415,7.4,111728,2.3,97067,210898,28476,67.2,32444,24.4,21064,0.3,N,2.7,25509,0.0,N,2.6,15127,2.8,10890,6.3,17231,64.0,33145,37.9,36.8,30.3
641,"Charleston County, South Carolina",156836,85601,77.3,87733,20.6,31506,30.0,18263,4.3,8038,2.3,1792,16.4,26940,86123,115447,14.2,70162,33.1,91872,37.8,155267,8.8,91530,4.3,158385,1.8,83943,396484,35768,68.4,43110,27.5,19028,0.2,24056,1.5,37363,0.0,N,0.6,13133,1.8,20306,5.0,17191,64.3,44692,38.0,38.9,32.8
642,"Darlington County, South Carolina",25924,53488,69.3,57258,11.1,16743,41.0,15837,8.7,10712,1.5,N,19.0,15339,15799,66793,19.0,36070,35.6,51735,23.8,101755,11.4,51624,8.2,117912,2.0,87372,67234,21774,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,30.9,29.4,25.6
643,"Dorchester County, South Carolina",55324,71563,79.9,69327,16.3,18662,31.2,18616,6.8,8497,2.2,2462,25.2,21345,37580,83535,14.1,62943,35.9,65147,32.2,100954,7.5,68369,7.2,132975,2.9,133653,153773,27341,67.1,31687,24.6,21234,0.7,13398,1.8,15028,0.0,N,2.1,10708,3.8,7643,5.2,24494,64.0,31557,35.5,34.1,28.1
644,"Florence County, South Carolina",50193,61747,73.0,64024,11.9,15268,37.5,16864,9.1,8827,1.9,1358,18.7,25654,34424,71632,17.3,42087,34.7,50239,30.2,103167,8.0,62254,7.2,116482,2.6,92519,138742,23748,54.4,29081,42.9,16465,0.1,N,1.3,51553,0.0,N,0.2,N,1.1,13638,2.6,21141,52.2,29534,34.9,36.7,27.1
645,"Greenville County, South Carolina",187957,75932,77.4,77489,20.2,20422,31.9,19760,5.0,10044,2.1,2432,17.0,21702,125025,89613,14.3,62287,34.5,75646,32.5,110716,9.5,82286,6.9,126511,2.2,91349,498766,29930,74.6,32906,18.3,21522,0.4,21672,2.3,35781,0.1,10193,2.3,13991,2.1,10637,9.0,15142,68.7,34348,30.3,30.2,24.2
646,"Greenwood County, South Carolina",27533,52756,72.1,50223,16.6,21786,40.2,19411,4.3,8555,1.6,N,21.7,17660,18286,58951,16.1,N,46.3,N,21.3,N,9.5,N,4.8,N,2.0,N,70133,21329,65.1,25546,30.4,13186,0.0,N,1.3,N,0.0,N,1.8,N,1.3,636,N,N,N,N,42.5,44.4,36.7
647,"Horry County, South Carolina",125562,61572,68.6,56981,19.9,21063,43.8,20404,4.9,11358,1.5,1688,25.2,27902,80474,72344,24.0,63017,32.2,57368,26.4,95335,9.7,68131,6.0,95331,1.8,72851,322342,25807,80.9,28505,13.7,14567,0.5,13429,1.4,20137,0.1,N,2.1,13745,1.4,8652,6.0,14394,77.1,29082,34.5,34.5,27.4
648,"Lancaster County, South Carolina",32630,77045,66.1,83922,20.9,19447,43.4,21043,4.9,9839,0.9,N,24.1,24604,23065,93599,N,N,N,N,N,N,N,N,N,N,N,N,89594,28913,72.4,34368,23.1,14194,0.0,N,0.5,N,0.0,N,3.4,18248,0.6,N,5.2,35160,69.9,33801,32.4,30.6,25.9
649,"Laurens County, South Carolina",24805,56140,74.9,53249,18.1,10555,44.4,16809,4.5,9917,1.9,3334,20.6,23676,17047,62741,14.7,38673,34.4,52675,31.6,75128,7.7,53448,6.9,105846,4.8,79852,66777,21753,70.8,22284,22.2,23630,0.2,N,1.5,N,0.7,N,1.5,16362,3.1,4250,4.6,9871,68.2,22873,40.5,42.0,31.9
650,"Lexington County, South Carolina",110146,75343,77.8,74963,20.5,17329,32.4,18963,5.0,9967,1.1,2911,20.7,24965,75624,86240,15.8,47073,30.8,69011,35.2,113887,9.0,74355,6.6,131534,2.6,79957,286196,29860,79.5,32285,14.5,21580,0.2,27064,1.7,27317,0.0,N,1.3,17199,2.7,11409,5.8,18561,75.3,33057,35.3,34.9,27.9
651,"Oconee County, South Carolina",31498,64615,70.3,61444,23.4,12957,42.8,21136,2.8,12066,1.1,N,24.1,31620,21780,75408,N,N,N,N,N,N,N,N,N,N,N,N,76355,27359,88.4,29427,7.4,13899,0.1,N,0.5,18232,0.0,N,1.2,10128,2.4,4555,5.1,12867,84.7,30077,32.8,30.7,24.6
652,"Orangeburg County, South Carolina",33449,46106,67.2,46112,6.6,N,35.0,15825,7.8,8646,2.4,2022,22.6,29034,18928,61317,19.6,64424,34.8,39350,27.4,85881,10.5,43116,4.1,98810,3.7,79746,87903,18886,33.6,27808,63.5,14510,0.7,8240,0.6,23436,0.0,N,0.0,N,1.6,7921,0.4,N,33.4,27856,39.2,41.2,32.4
653,"Pickens County, South Carolina",47303,64839,75.8,66652,21.1,14299,32.9,19895,3.9,8856,1.0,3058,17.8,17580,30482,79314,16.8,44892,33.2,77511,32.9,98490,8.9,57206,6.9,113308,1.3,53342,122863,25953,88.4,27280,7.0,18287,0.0,N,2.5,15570,0.1,N,0.7,10716,1.5,8343,3.6,13716,85.7,27621,39.5,37.3,29.8
654,"Richland County, South Carolina",153376,71025,81.9,66355,18.1,23441,26.7,17839,5.0,8093,1.2,2076,20.6,26758,92749,85316,12.0,63017,40.2,61072,26.2,118253,11.6,75963,5.7,160018,4.2,99667,409549,28041,45.6,35689,46.6,22014,0.2,N,2.5,19394,0.1,N,2.1,19698,2.9,19341,5.1,15270,42.9,36976,40.6,43.0,30.4
655,"Spartanburg County, South Carolina",113463,63453,75.2,63974,15.5,22998,35.6,19225,5.2,8309,0.9,3373,18.6,18352,75671,76334,17.7,45850,33.0,65098,27.9,95069,11.6,63384,7.4,144410,2.4,91020,301463,24959,73.4,28041,20.3,17520,0.1,N,2.2,18994,0.0,N,1.6,9587,2.5,9427,6.6,14634,68.7,28842,36.0,37.3,28.8
656,"Sumter County, South Carolina",41439,56274,73.5,56245,10.5,15758,35.3,16159,10.2,8365,1.1,1298,22.4,23099,27025,66747,15.4,40644,41.6,60219,23.6,88676,10.5,57544,6.0,102280,2.8,81230,107396,22109,47.8,28803,48.0,16302,0.1,N,1.5,18300,0.1,N,0.4,N,2.1,5345,3.8,26377,45.5,28481,37.6,36.4,29.8
657,"York County, South Carolina",98128,79926,81.6,81065,23.9,10489,28.9,20336,3.4,8930,0.8,1501,19.0,20366,69271,92210,13.2,42781,32.0,70027,35.0,126287,9.4,78826,7.8,128354,2.6,98973,258526,30589,74.0,35275,18.7,18351,0.8,17178,1.9,22355,0.0,N,2.2,9730,2.4,11438,5.3,17899,70.4,36105,28.5,29.4,22.5
658,"Minnehaha County, South Dakota",73808,75126,82.9,76407,20.1,13664,24.6,18109,3.7,9524,1.5,2185,14.8,22052,44456,90207,9.8,46851,25.8,56956,44.4,112453,7.4,76633,10.8,126206,1.9,92864,187318,30725,86.1,33159,5.0,15645,2.1,7678,2.4,35551,0.0,N,1.5,13094,2.8,6518,4.8,14977,83.3,33745,26.1,26.3,20.1
659,"Pennington County, South Dakota",42956,67638,79.3,63636,24.3,20129,31.9,18556,6.3,6369,1.5,2379,20.3,21906,26969,83602,12.7,N,33.6,N,37.9,N,8.0,N,7.5,N,0.3,N,109372,27824,83.0,31586,1.3,22833,9.4,6326,1.3,14675,0.0,N,0.2,N,4.7,9859,4.9,12862,80.5,32022,27.5,27.6,21.8
660,"Anderson County, Tennessee",31209,61601,71.2,60172,23.1,13936,39.9,18462,10.7,9142,1.8,2473,25.0,22434,21347,72220,18.8,48974,42.9,57426,25.4,103527,8.7,65767,3.2,138626,1.1,186710,75936,25908,91.2,25921,4.2,27804,0.0,N,1.6,29511,0.1,N,1.0,N,1.9,10440,2.7,23654,89.0,26202,29.6,28.7,21.2
661,"Blount County, Tennessee",49672,66674,73.5,66251,23.1,10070,38.1,20254,6.4,9247,1.5,3051,22.8,26561,33184,76040,18.0,43172,35.4,61884,31.5,95125,6.1,62185,7.1,150190,1.8,105286,128670,26868,93.6,27845,3.0,13747,0.1,N,0.7,17415,0.1,N,0.2,N,2.3,9160,3.2,13480,91.2,28156,34.6,35.4,27.0
662,"Bradley County, Tennessee",40710,59809,78.3,58689,16.0,8264,32.1,17926,8.8,10206,2.9,2523,20.2,23014,26902,66869,17.7,42965,28.2,47248,34.7,84192,12.0,58172,5.9,134151,1.4,124263,104490,23949,91.6,24136,5.5,24835,0.6,36509,0.2,N,0.0,N,0.7,19818,1.3,4707,6.1,9821,86.3,25108,37.6,36.7,30.9
663,"Davidson County, Tennessee",281967,78234,84.1,77611,18.7,24336,22.2,18611,5.8,9455,2.0,2863,12.7,21421,156117,94301,10.9,51973,32.6,73043,34.6,125091,12.8,80231,6.2,131639,2.8,107008,684410,32860,64.6,38013,27.4,22706,0.2,36465,3.8,35257,0.1,3538,1.6,16051,2.4,17783,10.1,15937,56.3,41230,41.8,43.2,34.7
664,"Greene County, Tennessee",25418,60485,64.2,63633,19.0,23041,46.1,17496,6.9,9021,2.1,1465,29.2,18548,16155,66648,26.4,35083,30.2,60474,24.4,88326,8.0,67082,9.2,116662,1.8,81943,68615,24301,94.6,25055,2.0,12109,0.2,N,0.3,20157,0.0,N,0.5,N,2.3,9672,2.8,5534,93.2,25357,43.0,49.3,35.4
665,"Hamilton County, Tennessee",139615,71471,72.4,74687,17.3,25368,31.6,19173,5.2,8983,2.0,4032,18.6,28863,77727,93853,17.9,53757,32.5,79126,34.1,117585,6.9,100241,7.0,143550,1.6,90160,357738,29576,75.8,33007,19.7,17771,0.1,N,1.9,27690,0.0,N,0.3,24462,2.2,17151,5.4,15687,71.3,34107,34.5,36.6,30.3
666,"Knox County, Tennessee",183889,72285,78.4,73987,22.0,11145,29.8,19391,4.6,10540,1.1,1896,18.1,24401,109524,91698,14.2,49464,32.4,76691,36.7,115587,7.5,77674,7.7,129589,1.6,105851,456132,29660,85.5,31493,8.8,18813,0.4,17374,2.3,26189,0.1,N,1.1,9018,1.8,15035,4.0,17196,82.5,31948,27.1,27.9,22.1
667,"Madison County, Tennessee",37322,58283,68.7,64967,14.3,10649,33.4,18428,7.8,9643,1.6,5925,23.9,18767,25073,69866,22.6,28246,39.7,66931,25.6,102216,6.3,61885,4.4,131029,1.4,79047,97663,23717,59.5,27674,37.9,17594,0.1,N,1.0,38272,0.0,N,0.4,N,1.1,9788,3.7,5885,56.2,29031,51.2,47.5,38.1
668,"Maury County, Tennessee",33667,64296,74.1,63705,20.2,18092,32.2,20861,4.2,9149,2.0,2058,26.5,19961,22436,74070,17.5,40708,31.9,65366,33.8,88025,8.6,74658,5.6,133879,2.6,92278,89981,24952,83.8,26175,12.1,21068,0.1,N,0.1,N,0.0,N,1.2,12264,2.7,8954,N,N,N,N,34.1,36.2,29.6
669,"Montgomery County, Tennessee",69427,65397,81.9,60905,14.5,11234,22.0,17831,6.0,10166,3.5,1967,22.2,23854,50713,71531,14.2,47335,38.4,59111,31.8,92973,7.7,67184,6.1,102701,1.8,61907,195734,24535,72.0,26818,19.3,20257,0.7,20244,2.8,13809,0.7,N,1.1,11520,3.4,15240,10.0,20742,64.1,27360,40.2,38.1,30.7
670,"Putnam County, Tennessee",31343,56080,75.0,58294,15.0,13819,31.9,18787,4.7,7706,1.4,N,15.9,17399,19265,71484,18.3,36271,36.2,56599,28.7,88921,6.9,58415,8.2,145020,1.7,173701,75931,23476,94.6,23999,0.9,N,0.0,N,2.2,13955,0.0,N,0.0,N,2.3,N,6.2,11815,88.6,24834,35.2,35.2,27.9
671,"Robertson County, Tennessee",25302,74977,79.9,78973,15.4,10475,34.1,17115,4.8,13014,1.8,2370,18.2,14642,19008,85413,10.7,32953,28.2,59893,34.5,119183,13.6,58287,11.0,119601,2.0,140227,69165,28094,89.9,28297,7.2,28167,0.2,N,0.6,N,0.0,N,0.3,N,1.8,N,6.5,14517,83.9,29272,47.6,48.2,33.8
672,"Rutherford County, Tennessee",111387,75267,84.5,73328,16.5,19048,24.1,19616,3.0,10355,2.1,3338,18.2,20937,77184,88075,8.9,52180,32.2,70006,37.7,100218,7.7,83354,10.1,124200,3.4,122006,308251,27704,77.6,29858,14.2,22385,0.2,N,3.4,19824,0.0,N,1.3,18180,3.2,12228,7.6,13081,71.8,31274,35.9,36.0,27.9
673,"Sevier County, Tennessee",36098,56756,78.6,51553,20.1,15235,39.3,20154,3.8,9397,2.8,N,17.5,20940,26043,64131,16.6,45086,34.2,45669,27.7,81231,8.1,52541,10.7,112568,2.6,83135,96673,22460,95.1,23247,0.6,8185,0.4,13432,0.5,N,0.0,N,0.6,14330,2.8,4861,N,N,N,N,35.7,35.4,27.1
674,"Shelby County, Tennessee",354666,70860,79.4,71921,13.3,26910,25.9,18034,7.0,10360,1.9,3323,15.1,24615,218893,85016,13.8,45120,39.0,66442,25.9,123563,11.9,75275,6.9,138663,2.5,93611,934603,27880,38.6,41135,53.4,19421,0.3,20871,2.4,37065,0.0,N,3.3,10841,2.0,16146,6.1,13703,36.0,42861,38.1,39.3,30.0
675,"Sullivan County, Tennessee",64795,58135,69.9,57995,21.6,12739,42.6,18607,6.0,10501,4.8,1970,23.7,20673,42493,69230,22.6,42375,31.2,58307,30.1,92795,10.1,69623,4.6,114991,1.4,85562,156667,24526,94.4,25146,1.9,17497,0.1,N,0.4,N,0.3,N,0.7,N,2.2,12180,1.8,7931,93.6,25294,29.5,29.1,22.8
676,"Sumner County, Tennessee",65186,78533,79.1,81514,20.3,11390,31.1,20186,4.7,9445,1.7,2397,19.3,20577,46884,92347,14.8,46008,28.8,76532,36.3,107679,8.0,80585,9.8,153769,2.3,126947,180063,29908,89.1,30874,7.3,25164,0.2,27682,1.3,15217,0.0,N,0.2,N,1.9,15024,4.6,17176,85.0,31465,37.9,37.4,30.7
677,"Washington County, Tennessee",52707,62660,74.4,63706,18.2,13321,37.5,18518,4.6,8026,2.4,1603,20.4,19981,35031,71426,19.7,48764,30.5,51206,35.6,93691,8.4,63233,5.2,136664,0.7,70605,127440,26340,91.5,27601,4.3,12998,0.6,6272,1.6,21786,0.1,N,0.2,N,1.7,5282,3.3,28081,89.0,27495,38.6,39.0,31.4
678,"Williamson County, Tennessee",73811,137681,86.9,133255,29.2,23499,24.1,22739,2.7,9990,0.5,N,17.2,44021,61132,148467,10.6,92180,32.6,139497,40.7,162877,6.6,113462,8.6,205432,1.0,192948,219107,47520,88.8,48430,4.1,55958,0.1,N,4.1,35647,0.2,N,0.5,N,2.1,30931,4.6,18506,84.9,49750,28.6,29.3,22.7
679,"Wilson County, Tennessee",47707,84232,81.5,85405,20.0,9974,34.0,20656,4.3,9641,1.2,4650,19.3,20797,35955,95854,12.0,46279,32.1,83284,38.9,112825,6.1,76851,8.4,141892,2.5,123037,132781,31290,88.8,32444,7.3,20938,0.4,45018,1.8,19113,0.0,N,0.5,N,1.1,29127,4.0,21384,85.7,32975,41.1,42.0,32.2
680,"Angelina County, Texas",30210,55000,71.8,58998,13.4,11575,35.9,15685,10.6,12277,2.0,2838,17.4,16563,19611,63397,17.1,35396,37.9,47487,27.9,92740,8.1,49602,7.7,107886,1.2,89876,87791,19896,77.4,20943,15.5,15028,1.5,N,1.1,58365,0.1,N,3.7,13774,0.7,N,21.7,11859,61.0,23362,31.9,35.9,25.2
681,"Bastrop County, Texas",25975,72650,70.2,74532,18.6,N,37.7,17936,1.9,8089,1.3,N,22.9,22937,17430,89411,17.4,93441,30.9,60850,27.9,100349,14.0,105401,5.4,127965,4.3,107228,82733,25379,71.3,29447,6.8,14625,0.5,N,1.6,N,0.0,N,17.5,12718,2.3,19582,N,N,N,N,43.7,46.1,35.5
682,"Bell County, Texas",119985,68060,81.6,64175,13.9,13751,23.3,17273,4.7,9557,1.3,2919,23.0,28300,84324,76672,13.4,47970,34.6,66406,35.2,93707,9.7,57300,4.7,135866,2.3,96346,340411,25358,63.9,27817,24.3,21538,0.6,25922,2.8,22200,0.7,10547,2.1,20986,5.6,18977,24.3,17175,46.5,31623,29.8,32.8,24.3
683,"Bexar County, Texas",628924,72419,81.4,72030,14.5,15286,26.7,16376,6.3,9422,1.5,2507,17.8,27324,420757,82827,12.5,47242,36.3,64563,26.7,114910,12.6,73397,8.0,124014,3.9,92952,1928680,25513,78.9,26514,7.9,22647,0.7,16686,2.9,28374,0.1,27147,6.7,20073,2.8,17892,59.9,19340,28.1,39163,36.3,37.0,29.0
684,"Bowie County, Texas",33031,67583,73.1,69184,14.5,32499,32.9,17873,7.6,9846,0.6,N,20.6,21063,21000,79183,18.8,37399,39.9,74309,26.9,102689,9.2,94030,4.8,124369,0.4,57611,93860,26107,70.2,29187,24.4,19397,0.3,N,1.3,21807,0.3,N,0.7,N,2.7,17365,7.6,14334,64.0,30546,36.4,37.5,28.6
685,"Brazoria County, Texas",117168,90604,82.7,92913,18.1,15185,24.6,19364,3.2,8931,0.9,2641,16.4,26050,89001,101929,10.1,61466,31.5,71307,36.3,133820,11.6,94644,6.4,141825,4.2,111864,354195,30722,74.8,31102,13.0,28708,1.0,17176,6.5,41327,0.0,N,2.7,19616,2.1,17497,30.0,21898,48.5,36048,32.8,36.1,26.3
686,"Brazos County, Texas",78272,71130,86.4,70287,18.6,17775,18.0,18187,3.0,8297,2.0,2323,11.0,23841,45717,93561,8.1,44211,35.8,63884,35.0,129462,9.2,70040,8.2,148595,3.7,86601,220417,26331,75.9,27994,10.3,21122,0.5,N,6.4,23368,0.0,N,3.2,22128,3.7,15609,25.1,14983,56.3,32768,36.0,36.5,28.0
687,"Cameron County, Texas",120499,51206,74.1,54723,8.1,16085,29.5,14625,8.7,10206,3.4,2163,13.1,20499,93840,55661,17.8,26530,39.2,38116,21.2,87740,11.8,59488,6.2,112440,3.9,88387,422135,15886,95.0,15720,0.5,16310,0.1,N,0.8,39101,0.0,N,2.9,14939,0.7,14965,89.4,13947,9.3,32575,38.8,39.9,27.8
