Geography,Percent Males; Margin of Error; Population 25 years and over - Bachelor's degree,Percent Females; Estimate; Population 25 years and over - Graduate or professional degree,Percent Females; Margin of Error; Percent high school graduate or higher,Percent Males; Margin of Error; Percent bachelor's degree or higher,Percent Females; Margin of Error; Population 45 to 64 years - High school graduate or higher,Percent Males; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree,Percent; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher,Percent Females; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher,Percent Females; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher,Estimate; Total
"Sarasota County, Florida",1.7,11.2,1.1,2.0,1.7,2.2,5.5,6.5,1.8,412569
"Seminole County, Florida",2.3,13.8,1.1,2.1,1.9,2.4,5.2,5.8,1.9,455479
"Sumter County, Florida",3.5,13.3,2.0,4.3,3.3,5.6,3.9,5.6,4.0,123996
"Volusia County, Florida",1.4,8.3,1.0,1.5,1.9,2.0,7.4,9.1,2.6,529364
"Walton County, Florida",4.6,8.6,3.5,4.7,6.0,5.3,5.3,3.6,3.7,65889
"Barrow County, Georgia",3.2,9.4,3.2,3.6,4.9,4.8,6.3,7.5,5.6,77126
"Bartow County, Georgia",3.8,5.5,3.5,4.1,5.5,6.4,3.3,2.7,2.7,103807
"Bibb County, Georgia",2.9,11.9,2.2,3.5,3.3,6.0,7.1,7.6,3.5,152760
"Bulloch County, Georgia",4.0,13.0,3.5,5.0,6.2,1.7,6.8,10.6,8.8,74722
"Carroll County, Georgia",3.8,9.2,3.6,4.6,5.1,4.4,4.3,4.7,3.9,116261
"Catoosa County, Georgia",4.6,6.8,3.2,5.2,6.1,4.3,3.2,4.1,5.4,66398
"Chatham County, Georgia",2.6,11.4,1.4,2.9,3.0,3.2,5.0,4.7,2.2,289082
"Cherokee County, Georgia",3.5,11.4,2.3,3.6,2.4,2.9,2.2,2.9,1.5,241689
"Clarke County, Georgia",4.0,25.1,2.7,4.6,5.5,5.1,7.6,8.1,3.2,124707
"Clayton County, Georgia",2.8,7.8,1.6,2.9,2.5,4.2,9.8,11.3,4.6,279462
"Cobb County, Georgia",1.7,17.3,0.9,1.9,1.2,2.5,3.7,3.7,0.8,748150
"Columbia County, Georgia",3.8,15.9,3.0,3.9,3.3,4.7,2.5,2.0,1.7,147450
"Coweta County, Georgia",3.1,9.5,2.2,3.7,2.8,2.7,0.8,0.8,1.0,140526
"DeKalb County, Georgia",1.5,19.5,1.0,1.6,1.4,2.4,6.3,5.6,1.0,740321
"Dougherty County, Georgia",2.9,10.5,3.1,3.5,4.6,6.7,5.6,8.9,4.6,90017
"Douglas County, Georgia",3.1,11.2,2.5,3.7,2.6,3.7,2.7,3.0,2.1,142224
"Fayette County, Georgia",3.3,19.3,1.4,4.7,1.5,1.6,2.1,0.9,0.9,111627
"Floyd County, Georgia",2.6,11.5,3.1,3.4,4.0,4.8,1.2,1.4,1.6,96560
"Forsyth County, Georgia",2.9,14.7,1.5,2.9,2.2,1.6,1.9,2.3,1.0,221009
"Fulton County, Georgia",1.4,19.5,0.8,1.5,1.4,2.4,5.4,6.1,1.2,1023336
"Glynn County, Georgia",3.5,8.2,3.4,4.4,4.8,3.5,7.0,8.5,5.6,84502
"Gwinnett County, Georgia",1.2,12.7,0.9,1.5,1.5,1.5,4.6,5.0,1.3,907135
"Hall County, Georgia",2.0,8.6,2.5,2.5,3.4,4.1,2.7,2.9,2.1,196637
"Henry County, Georgia",2.8,14.9,2.9,3.1,3.6,2.4,2.8,2.3,1.4,221768
"Houston County, Georgia",3.7,12.9,2.6,4.7,2.3,3.3,7.3,6.5,4.4,152122
"Liberty County, Georgia",3.3,6.0,3.4,4.0,3.8,3.2,5.1,7.1,8.0,62570
"Lowndes County, Georgia",3.1,11.2,2.8,4.1,5.3,6.0,3.7,3.0,2.4,114628
"Muscogee County, Georgia",2.6,11.4,1.7,3.2,2.7,4.2,8.2,8.4,3.6,197485
"Newton County, Georgia",3.2,6.7,3.6,4.0,4.9,3.5,4.1,5.9,7.9,106999
"Paulding County, Georgia",3.1,8.5,2.3,3.5,3.3,1.0,2.7,1.7,1.7,155825
"Richmond County, Georgia",2.2,9.4,2.2,3.0,3.0,5.1,7.0,8.1,3.2,201647
"Rockdale County, Georgia",3.6,9.6,3.6,3.8,4.2,4.0,0.8,0.9,1.2,89355
"Troup County, Georgia",3.3,6.6,4.9,4.2,6.2,5.7,4.3,4.6,3.4,70005
"Walker County, Georgia",3.8,4.1,5.6,4.3,8.2,6.2,10.6,8.0,7.1,67896
"Walton County, Georgia",3.5,9.6,3.5,4.1,4.0,2.6,6.1,8.7,7.3,90184
"Whitfield County, Georgia",2.1,4.6,3.7,2.7,5.8,4.1,5.4,8.1,6.1,104589
"Hawaii County, Hawaii",2.4,8.6,1.7,2.8,1.8,4.4,8.7,9.1,3.4,198449
"Honolulu County, Hawaii",1.2,12.3,0.9,1.3,1.5,1.2,3.9,4.9,1.0,992605
"Kauai County, Hawaii",3.7,6.2,2.8,3.7,1.4,3.0,6.1,5.1,3.8,72029
"Maui County, Hawaii",2.3,7.2,1.8,2.7,2.4,2.7,6.5,6.1,2.6,165379
"Ada County, Idaho",2.0,10.8,1.2,2.3,1.5,3.2,4.3,4.9,1.7,444028
"Bannock County, Idaho",3.8,6.4,2.9,3.9,4.9,2.9,4.7,4.9,3.2,84377
"Bonneville County, Idaho",3.2,7.1,2.5,3.6,3.6,4.1,3.1,3.2,2.5,112232
"Canyon County, Idaho",2.5,4.3,2.1,2.7,4.1,4.7,5.3,5.2,3.0,211698
"Kootenai County, Idaho",3.1,10.2,2.0,3.3,3.0,4.0,4.8,5.6,3.3,154311
"Twin Falls County, Idaho",4.0,5.2,2.7,4.6,4.8,5.7,8.4,11.3,7.3,83514
"Adams County, Illinois",3.5,11.1,3.0,3.7,6.5,5.0,4.2,2.2,2.7,66578
"Champaign County, Illinois",2.5,22.4,1.2,3.2,2.0,4.4,7.5,7.6,2.4,208419
