Geography,Estimate; Total:,Margin of Error; Total:,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Burleigh County, North Dakota",94487,*****,211,1242,831
"Cass County, North Dakota",175249,*****,443,5051,1723
"Grand Forks County, North Dakota",71083,*****,234,2051,978
"Ward County, North Dakota",70210,*****,155,2216,1064
"Allen County, Ohio",103742,*****,309,3239,1168
"Ashtabula County, Ohio",98231,*****,189,2507,904
"Athens County, Ohio",66186,*****,191,2427,685
"Butler County, Ohio",377537,*****,754,9963,2715
"Clark County, Ohio",134786,*****,155,6143,1020
"Clermont County, Ohio",203022,*****,62,2626,802
"Columbiana County, Ohio",103685,*****,175,1347,542
"Cuyahoga County, Ohio",1249352,*****,1539,38539,4865
"Delaware County, Ohio",196463,*****,405,3908,1404
"Erie County, Ohio",75107,*****,239,2376,1114
"Fairfield County, Ohio",152597,*****,229,4579,1498
"Franklin County, Ohio",1264518,*****,1103,45547,6197
"Greene County, Ohio",164765,*****,134,5104,1518
