Geography,Percent; Estimate; Population 18 to 24 years - Less than high school graduate,Percent Females; Estimate; Population 18 to 24 years - Less than high school graduate,Percent Females; Estimate; Population 18 to 24 years - Some college or associate's degree,Percent; Estimate; Population 18 to 24 years - Bachelor's degree or higher,Percent Females; Estimate; Population 25 years and over - Less than 9th grade,"Percent Females; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",Percent Females; Estimate; Population 25 years and over - High school graduate (includes equivalency),Percent Males; Estimate; Population 25 years and over - Bachelor's degree,Percent Females; Estimate; Percent high school graduate or higher,Percent Males; Estimate; Percent bachelor's degree or higher,Percent Females; Estimate; Percent bachelor's degree or higher,Percent Females; Estimate; Population 25 to 34 years - High school graduate or higher,Percent Males; Estimate; Population 25 to 34 years - Bachelor's degree or higher,Percent Females; Estimate; Population 25 to 34 years - Bachelor's degree or higher,Percent Females; Estimate; Population 45 to 64 years - Bachelor's degree or higher,Percent Females; Estimate; Population 65 years and over - High school graduate or higher,Percent Males; Estimate; Population 65 years and over - Bachelor's degree or higher,Percent Females; Estimate; Population 65 years and over - Bachelor's degree or higher,"Percent Females; Estimate; White alone, not Hispanic or Latino - High school graduate or higher","Percent Males; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher","Percent Females; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher",Percent Males; Estimate; Black alone - High school graduate or higher,Percent Males; Estimate; Asian alone - Bachelor's degree or higher,Percent Females; Estimate; Asian alone - Bachelor's degree or higher,Percent Males; Estimate; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher,Percent Males; Estimate; Some other race alone - High school graduate or higher,Percent Males; Estimate; Some other race alone - Bachelor's degree or higher,Percent; Estimate; Two or more races - Bachelor's degree or higher,Percent Males; Estimate; Hispanic or Latino Origin - Bachelor's degree or higher,Percent Females; Estimate; Hispanic or Latino Origin - Bachelor's degree or higher,Percent Males; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency),Percent Males; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree,Percent Females; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher,Total; Estimate; All households - With earnings,Total; Estimate; All households - With Social Security income,Total; Estimate; All households - With cash public assistance income,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other",Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,"Total; Estimate; White alone, not Hispanic or Latino",Total; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Family income in the past 12 months
"Lawrence County, Pennsylvania",9.7,6.6,60.0,5.2,2.5,6.6,44.1,15.3,90.9,23.5,22.4,90.3,29.9,28.2,23.3,84.9,24.6,13.0,91.0,23.4,22.8,98.1,N,N,N,N,N,N,N,N,8.3,5.3,5.6,72.5,42.0,4.3,9.7,2.7,93.3,0.4,1.5,92.3,32.9,32.8
"Lebanon County, Pennsylvania",16.8,12.9,28.9,2.7,3.0,8.1,45.5,14.1,88.9,21.6,19.7,89.3,19.8,24.1,20.9,84.7,24.1,8.5,88.9,22.5,20.8,N,N,N,N,74.7,0,N,6.6,13.3,7.8,5.1,1.8,73.9,38.5,2.5,8.9,2.5,87.1,1.5,2.1,82.8,39.9,41.5
"Lehigh County, Pennsylvania",22.2,15.3,44.4,9.5,4.9,5.9,33.3,18.6,89.2,29.6,29.3,93.4,25.5,37.0,28.0,78.5,30.6,19.6,92.3,33.5,32.9,79.7,83,44,N,76.5,10,26.1,8.5,13.1,13.4,8.2,2.5,77.1,34.9,3.3,8.9,3.3,78.9,3.2,3,65.6,35.0,35.4
"Luzerne County, Pennsylvania",13.1,11.8,43.5,9.0,3.0,6.7,36.7,13.6,90.3,21.1,24.9,94.1,19.4,33.1,26.0,83.8,20.2,13.1,92.2,22.3,25.7,77.3,71.8,60.1,N,41.2,10,24.5,9.2,12.4,12.7,7.4,4.0,71.7,38.8,3.5,9.9,2.7,90.2,1.2,1.8,83.1,39.0,39.1
"Lycoming County, Pennsylvania",15.0,14.4,40.3,6.4,3.1,5.8,37.9,13.7,91.1,22.5,20.0,93.8,29.6,29.8,17.9,87.0,22.8,13.4,91.8,23.1,21.1,94.6,N,N,N,N,N,N,N,N,7.3,8.4,2.2,75.3,38.7,3.8,6.3,1.5,92.4,0.6,2.3,90.8,35.6,36.4
"Mercer County, Pennsylvania",12.7,6.9,51.5,5.9,2.6,6.8,41.0,13.2,90.7,21.4,22.7,92.4,14.4,30.1,24.7,85.1,23.7,13.5,90.4,22.4,23.7,92.7,N,N,N,N,N,N,N,N,12.2,10.4,3.7,71.7,43.2,2.8,8.9,2.7,91.4,0.8,1.9,90.3,31.4,32.8
"Monroe County, Pennsylvania",10.3,12.0,43.6,8.4,3.1,5.9,34.0,15.9,91.1,24.0,27.2,95.9,26.1,41.4,27.2,85.3,33.1,18.0,92.4,26.5,26.4,96.9,38.4,62.4,N,N,N,N,16,16.6,12.9,2.5,3.1,74.3,39.2,3.0,9,2.2,75.1,2.1,3.2,67,41.6,45.3
"Montgomery County, Pennsylvania",10.2,9.0,44.6,18.9,2.0,3.6,24.3,28.0,94.5,48.9,47.2,96.6,49.6,59.7,47.7,88.5,47.8,29.2,95.7,50.2,48.1,90.1,74.7,60.3,N,43.4,9.3,42,22,27.3,6.9,4.7,2.8,80.9,32.7,1.7,8.4,1.9,79.7,7.4,2.7,76.3,31.9,32.2
"Northampton County, Pennsylvania",9.2,6.8,51.4,9.6,2.7,5.9,34.8,18.6,91.4,27.8,29.9,97.5,28.8,38.6,31.9,83.1,26.6,16.4,92.7,28.9,30.1,94.1,48.4,54.1,N,81.3,17.6,19.8,15.1,21.3,5.8,3.5,3.2,79.2,36.2,3.8,10.3,3.3,87,2.8,3.2,77.4,30.1,30.3
"Northumberland County, Pennsylvania",17.8,12.3,42.6,8.6,2.8,9.0,50.4,11.0,88.3,17.1,18.2,83.9,13.0,26.3,16.7,80.0,16.7,11.0,88.1,16.8,17.7,N,N,N,N,N,N,N,N,N,8.7,9.9,2.1,73.6,39.5,3.6,10.1,0.8,94.8,0.5,1.2,92.7,44.4,45.6
"Philadelphia County, Pennsylvania",13.0,10.5,48.7,11.6,5.7,10.2,30.8,17.2,84.1,28.2,29.0,92.3,42.2,46.1,21.6,72.9,23.1,17.0,91.5,42.7,42.6,81.9,41.6,38.3,N,55.8,6.8,33,11.2,14.5,21.4,14.5,9.6,71.4,28.9,6.1,12,4.2,40.4,7.1,3.3,34.6,40.7,46.7
"Schuylkill County, Pennsylvania",18.7,14.4,31.8,6.6,1.5,8.6,44.4,9.5,90.0,14.4,17.0,89.7,14.5,29.4,16.6,87.4,11.0,6.7,90.5,15.6,16.9,78.1,N,N,N,N,N,N,0,19.5,8.6,9.7,3.0,70.4,43.1,3.4,10.3,0.9,93.3,0.6,1.3,91.4,42.3,40.8
"Somerset County, Pennsylvania",17.8,18.5,31.3,9.9,3.7,6.6,44.0,9.9,89.7,14.0,18.2,98.2,12.2,28.3,15.4,83.8,16.4,12.0,90.0,14.9,17.6,N,N,N,N,N,N,N,N,N,9.4,3.9,6.7,67.3,42.8,3.7,6.6,1.9,95.5,0.5,1,N,34.3,33.1
"Washington County, Pennsylvania",14.2,12.1,40.7,13.7,1.8,5.5,38.4,20.6,92.7,29.6,29.2,97.0,35.6,39.0,27.4,88.1,27.1,17.6,93.0,29.6,29.5,95.6,N,N,N,N,N,27.3,14.2,23.4,10.7,6.4,2.6,73.4,40.0,2.4,9.8,1.7,93.5,1,1.9,92.4,36.3,35.3
"Westmoreland County, Pennsylvania",9.1,8.5,48.6,14.3,1.8,3.8,37.0,18.2,94.4,28.4,27.8,96.7,36.1,40.8,26.1,88.3,25.4,17.2,94.6,28.1,27.7,81.5,60,45.1,N,N,N,N,31.6,14.8,8.0,6.8,2.1,71.7,39.4,2.9,9,1.9,94.7,1,1.3,94,36.5,37.1
"York County, Pennsylvania",15.2,14.7,36.3,6.3,2.9,7.1,39.4,16.1,90.0,23.9,24.5,92.5,26.4,33.6,23.7,80.6,23.3,12.5,90.5,24.0,24.8,90.5,46.8,33.4,N,68.5,5,27,15.6,13.6,7.9,5.1,3.3,78.1,34.4,2.3,9.3,2.8,88.3,1.6,2.3,83.9,28.9,28.9
"Kent County, Rhode Island",13.8,10.9,56.5,11.6,2.7,5.7,28.4,20.8,91.7,32.3,32.0,94.5,37.3,38.5,37.2,82.1,31.8,13.1,91.8,30.8,31.8,90.1,N,N,N,N,N,N,37.2,24.1,12.0,6.3,2.7,75.4,33.3,3.7,11,3.6,92.1,2.2,2.7,89,33.9,35.3
"Newport County, Rhode Island",6.5,5.0,45.3,39.1,1.8,2.1,20.3,27.8,96.2,46.8,44.1,99.9,48.5,41.8,47.9,91.2,55.0,33.8,95.9,46.0,45.4,83.5,N,N,N,N,N,N,N,N,11.6,7.0,1.9,76.5,39.0,3.9,9.5,2.8,89.8,2.3,2.4,85.6,37.8,36.0
"Providence County, Rhode Island",11.5,8.6,46.7,11.4,7.8,6.8,28.5,18.3,85.4,29.1,29.8,93.7,36.8,40.6,27.3,74.6,29.2,20.7,89.3,34.1,35.2,84.4,41.9,41.4,N,63.3,10.8,24.8,10.7,10.3,10.6,8.8,6.9,74.5,31.4,3.9,12.3,3.4,72.7,4.2,3.9,61.8,34.4,36.2
"Washington County, Rhode Island",12.5,4.7,62.5,12.6,1.0,4.1,21.5,24.4,94.9,44.0,49.0,98.5,35.1,66.1,50.1,90.8,53.1,35.7,95.5,44.7,50.2,N,N,N,N,N,N,N,N,N,14.7,5.3,3.5,75.6,38.7,1.6,7.4,1.7,93,2.7,1,90.9,36.3,36.7
"Aiken County, South Carolina",14.6,14.3,50.9,4.9,5.1,10.2,32.0,15.2,84.8,24.9,22.2,85.7,18.3,19.6,27.6,77.8,39.5,21.4,87.0,28.4,24.3,81.4,N,N,N,N,N,N,7.2,11.8,14.9,7.3,2.0,70.1,37.7,1.0,9.6,1,71.4,1.2,1.9,66.4,45.5,45.6
"Anderson County, South Carolina",18.0,15.5,35.8,9.7,4.0,10.9,31.7,13.7,85.1,21.5,20.8,81.0,16.3,26.9,20.1,75.9,25.3,16.1,87.5,24.3,24.1,68.5,N,N,N,N,N,N,N,N,15.1,5.8,4.4,73.2,38.1,0.8,10.4,1.5,79.7,1,1.6,77.6,34.1,36.7
"Beaufort County, South Carolina",18.5,26.4,40.6,6.1,1.8,2.6,21.9,23.6,95.6,40.4,42.9,94.2,28.3,33.1,37.9,95.0,61.2,52.6,97.3,49.7,52.1,90.3,N,N,N,N,N,N,9.8,20,4.9,4.5,1.6,66.5,43.5,0.5,5.7,2,75.4,1.3,2.3,67.4,39.5,36.7
"Berkeley County, South Carolina",13.2,10.4,41.2,11.9,3.1,9.0,24.9,15.2,87.9,24.2,26.2,93.6,21.4,31.0,24.3,77.6,20.8,23.3,88.0,27.5,27.9,84.5,41.7,52.7,N,53.2,6.8,22.9,11.9,17.9,7.0,7.1,2.3,80.4,28.0,1.5,6.9,2.3,67.2,2.7,2.8,64,37.9,36.8
"Charleston County, South Carolina",10.2,6.2,47.3,16.6,2.0,6.8,21.9,27.4,91.2,41.3,41.9,92.8,40.1,51.4,40.5,88.3,42.2,30.9,96.3,52.0,53.5,70.1,90.4,47.8,N,N,N,26.3,24.9,11,15.8,6.5,4.9,77.3,30.0,2.3,8.8,1.8,68.4,1.5,1.8,64.3,38.0,38.9
"Darlington County, South Carolina",7.6,10.6,48.4,6.7,5.8,13.3,29.5,10.1,80.9,14.6,19.5,88.7,15.7,19.9,20.4,70.7,8.3,14.5,86.5,16.2,22.3,64.5,N,N,N,N,N,N,N,N,9.9,10.8,8.2,69.3,41.0,1.5,11.4,2,N,N,N,N,30.9,29.4
"Dorchester County, South Carolina",18.2,21.8,41.6,13.4,3.7,6.8,25.2,19.2,89.5,28.3,29.9,98.2,26.5,40.9,23.9,80.3,31.7,21.1,92.8,34.1,32.6,79.9,N,N,N,N,N,N,N,N,7.2,3.8,2.9,79.9,31.2,2.2,7.5,2.9,67.1,1.8,3.8,64,35.5,34.1
"Florence County, South Carolina",13.6,7.7,60.2,5.6,5.7,9.1,28.7,13.5,85.2,19.6,24.6,88.9,14.0,23.6,26.8,71.7,16.2,16.2,89.2,25.0,26.5,73.6,N,N,N,N,N,N,29,24.3,14.6,7.3,5.2,73.0,37.5,1.9,8,2.6,54.4,1.3,1.1,52.2,34.9,36.7
"Greenville County, South Carolina",13.5,10.3,49.1,13.9,4.0,7.8,21.4,21.6,88.3,34.0,34.0,90.4,34.7,40.9,33.4,79.8,38.2,20.0,91.8,39.9,37.8,82,64.1,62.6,N,50.7,2.2,14.9,10.1,20.4,9.5,7.6,2.4,77.4,31.9,2.1,9.5,2.2,74.6,2.3,2.1,68.7,30.3,30.2
"Greenwood County, South Carolina",38.0,38.6,54.4,5.2,3.3,11.4,27.6,20.0,85.3,27.5,21.0,86.2,21.8,20.9,24.8,75.9,32.2,15.6,89.9,30.6,27.7,80.2,N,N,N,N,N,N,N,N,14.5,6.0,12.9,72.1,40.2,1.6,9.5,2,65.1,1.3,1.3,N,42.5,44.4
"Horry County, South Carolina",14.1,13.6,45.0,5.6,3.7,5.9,30.2,14.3,90.4,21.6,23.2,85.6,19.4,26.1,21.8,91.1,28.1,22.8,92.6,24.5,24.6,81.6,N,N,N,N,N,N,8.2,15,10.8,8.9,4.1,68.6,43.8,1.5,9.7,1.8,80.9,1.4,1.4,77.1,34.5,34.5
"Lancaster County, South Carolina",12.4,13.2,58.5,1.9,3.6,9.7,28.6,18.2,86.8,26.4,26.7,100.0,31.4,29.9,24.7,81.0,33.0,23.3,90.3,32.8,31.9,63.3,N,N,N,N,N,N,N,N,11.3,0.8,4.6,66.1,43.4,0.9,N,N,72.4,0.5,0.6,69.9,32.4,30.6
"Laurens County, South Carolina",10.5,9.1,49.2,7.5,6.5,13.4,31.2,7.7,80.1,11.4,16.1,87.3,7.4,16.6,16.6,71.3,11.9,11.9,78.1,13.6,17.7,68.7,N,N,N,N,N,N,N,N,9.9,5.2,1.1,74.9,44.4,1.9,7.7,4.8,70.8,1.5,3.1,68.2,40.5,42.0
"Lexington County, South Carolina",11.5,11.1,52.7,10.6,3.2,6.5,27.0,19.1,90.3,29.1,31.8,91.7,22.5,39.9,29.4,86.3,33.9,19.7,92.3,32.2,33.7,90.4,42.1,35.6,N,N,N,13.2,11.5,22.3,7.6,6.4,2.9,77.8,32.4,1.1,9,2.6,79.5,1.7,2.7,75.3,35.3,34.9
"Oconee County, South Carolina",8.7,7.1,41.5,6.3,3.8,10.3,30.2,13.4,85.8,25.5,23.4,92.4,14.5,11.6,33.8,81.1,27.8,19.7,85.5,27.5,26.2,66.1,N,N,N,N,N,N,16.9,8.7,12.8,5.4,2.9,70.3,42.8,1.1,N,N,88.4,0.5,2.4,84.7,32.8,30.7
"Orangeburg County, South Carolina",10.4,1.0,72.1,2.8,4.1,8.4,27.8,10.4,87.6,14.7,21.0,98.4,14.5,21.0,24.2,71.9,15.8,14.2,91.5,21.3,22.8,80.6,N,N,N,N,N,N,N,N,20.9,12.0,6.0,67.2,35.0,2.4,10.5,3.7,33.6,0.6,1.6,33.4,39.2,41.2
"Pickens County, South Carolina",9.2,4.9,66.7,6.4,4.2,9.4,28.1,20.0,86.4,29.9,25.0,90.4,32.7,34.3,25.6,78.3,24.2,20.4,87.7,31.1,25.3,64.1,N,N,N,N,N,N,N,N,5.3,6.2,2.8,75.8,32.9,1.0,8.9,1.3,88.4,2.5,1.5,85.7,39.5,37.3
"Richland County, South Carolina",6.5,3.6,50.4,10.7,2.8,5.4,21.5,22.8,91.8,37.4,40.1,91.5,35.9,45.3,39.1,87.9,40.0,32.7,96.1,51.5,48.7,86.6,51.2,56.3,N,58.3,14.1,37.5,16.5,27.6,13.8,5.5,5.6,81.9,26.7,1.2,11.6,4.2,45.6,2.5,2.9,42.9,40.6,43.0
"Spartanburg County, South Carolina",14.1,8.5,52.8,7.8,4.5,8.9,31.0,14.2,86.6,21.5,22.8,88.0,20.4,32.9,21.4,80.7,23.2,14.6,89.8,25.2,26.0,81.6,5.8,22.1,N,56.7,4.8,26.4,7.1,12.9,9.1,6.2,4.8,75.2,35.6,0.9,11.6,2.4,73.4,2.2,2.5,68.7,36.0,37.3
"Sumter County, South Carolina",10.2,10.0,57.9,6.2,3.4,9.7,30.7,13.5,86.9,19.0,19.9,96.0,8.9,23.1,22.2,72.0,19.9,9.9,90.7,23.2,20.5,80,N,N,N,N,N,N,N,N,20.6,12.7,4.5,73.5,35.3,1.1,10.5,2.8,47.8,1.5,2.1,45.5,37.6,36.4
"York County, South Carolina",14.3,13.2,50.7,10.5,3.7,5.7,25.3,20.3,90.5,29.2,30.5,94.6,26.8,35.0,32.0,82.9,26.9,18.4,93.5,34.0,35.1,80.8,34.5,26,N,N,N,N,11,19.9,11.0,4.4,3.1,81.6,28.9,0.8,9.4,2.6,74,1.9,2.4,70.4,28.5,29.4
"Minnehaha County, South Dakota",14.3,8.6,50.6,10.9,3.1,4.6,23.7,20.4,92.3,30.0,36.7,95.5,34.1,52.2,33.3,89.8,28.9,19.1,96.3,32.2,39.4,74.5,47.4,42.7,N,N,N,N,2.6,16.8,7.1,3.0,3.1,82.9,24.6,1.5,7.4,1.9,86.1,2.4,2.8,83.3,26.1,26.3
"Pennington County, South Dakota",13.1,15.5,40.7,12.4,2.0,6.2,24.0,17.3,91.9,26.6,33.7,84.4,21.7,33.0,33.5,91.3,34.6,34.2,95.6,28.9,35.9,N,N,N,N,N,N,N,N,N,16.5,7.5,4.1,79.3,31.9,1.5,8,0.3,83,1.3,4.7,80.5,27.5,27.6
"Anderson County, Tennessee",4.0,6.9,54.9,10.9,5.0,5.5,33.9,13.7,89.5,25.1,21.3,98.4,27.0,28.1,21.1,81.4,26.8,15.2,88.9,24.6,20.7,N,N,N,N,N,N,N,N,N,7.0,8.9,11.2,71.2,39.9,1.8,8.7,1.1,91.2,1.6,1.9,89,29.6,28.7
"Blount County, Tennessee",10.0,10.1,61.0,6.3,3.0,6.8,34.2,16.2,90.3,23.6,22.1,86.5,23.3,21.3,18.1,86.8,26.2,19.9,91.4,23.7,22.6,N,N,N,N,N,N,N,20,4.9,12.2,6.6,2.0,73.5,38.1,1.5,6.1,1.8,93.6,0.7,2.3,91.2,34.6,35.4
"Bradley County, Tennessee",7.6,9.6,61.5,5.4,5.5,9.8,32.9,15.0,84.7,23.8,22.3,91.4,22.5,31.2,19.8,74.9,24.4,15.1,85.7,25.5,23.6,92.5,N,N,N,N,N,N,7.4,17.5,10.5,4.2,1.9,78.3,32.1,2.9,12,1.4,91.6,0.2,1.3,86.3,37.6,36.7
"Davidson County, Tennessee",10.1,7.0,45.9,19.3,4.0,7.2,20.8,24.5,88.9,38.0,41.4,92.1,45.5,56.7,35.7,84.7,37.0,25.8,93.4,46.9,49.1,82.1,51.8,51.5,N,53.8,14.9,31.5,12.9,13.2,15.8,7.1,6.7,84.1,22.2,2.0,12.8,2.8,64.6,3.8,2.4,56.3,41.8,43.2
"Greene County, Tennessee",14.2,3.9,46.8,6.6,5.1,7.2,43.0,7.5,87.7,13.3,19.0,90.5,29.8,34.2,20.8,80.1,17.8,9.0,87.7,14.0,19.9,N,N,N,N,N,N,N,N,N,11.4,11.2,1.0,64.2,46.1,2.1,8,1.8,94.6,0.3,2.3,93.2,43.0,49.3
"Hamilton County, Tennessee",11.0,9.4,59.7,11.1,3.9,7.6,29.1,20.9,88.4,30.2,31.1,90.9,30.3,45.1,30.2,79.8,26.7,17.8,91.3,33.5,35.8,79.8,42,43.9,N,N,N,30.3,19.1,21.9,16.7,4.8,4.2,72.4,31.6,2.0,6.9,1.6,75.8,1.9,2.2,71.3,34.5,36.6
"Knox County, Tennessee",8.6,8.9,50.2,13.1,2.9,5.7,24.4,23.6,91.4,39.0,37.9,95.4,39.1,50.2,40.0,83.8,45.0,23.2,92.2,39.5,38.3,86.7,87.3,71.1,N,N,N,43.4,20.5,39.9,15.7,10.1,3.6,78.4,29.8,1.1,7.5,1.6,85.5,2.3,1.8,82.5,27.1,27.9
"Madison County, Tennessee",7.8,7.3,49.5,8.0,2.8,9.6,37.6,13.4,87.5,20.9,21.0,94.6,17.3,19.9,20.1,75.8,25.5,17.6,90.8,24.9,23.3,88.8,N,N,N,N,N,N,N,N,14.6,7.8,5.3,68.7,33.4,1.6,6.3,1.4,59.5,1,1.1,56.2,51.2,47.5
"Maury County, Tennessee",12.1,4.4,45.7,6.6,2.9,4.6,33.1,14.9,92.5,21.7,22.5,95.3,17.6,33.1,22.1,86.3,23.8,14.6,92.3,25.5,24.9,89.5,N,N,N,N,N,N,0,10.1,7.6,3.9,3.4,74.1,32.2,2.0,8.6,2.6,83.8,0.1,2.7,N,34.1,36.2
"Montgomery County, Tennessee",7.4,5.0,48.5,9.4,3.0,7.7,29.5,18.1,89.4,25.3,26.3,95.4,22.2,34.8,19.0,71.4,33.4,19.5,91.3,25.5,28.8,88.1,37.8,18.4,N,N,N,36.9,24.1,10.6,13.6,5.8,7.7,81.9,22.0,3.5,7.7,1.8,72,2.8,3.4,64.1,40.2,38.1
"Putnam County, Tennessee",4.5,5.4,58.7,5.1,7.0,8.1,35.1,17.3,84.9,26.4,29.6,87.3,33.8,44.3,29.1,72.8,24.7,15.6,84.9,24.8,30.5,N,N,N,N,N,N,N,N,N,18.4,4.1,1.8,75.0,31.9,1.4,6.9,1.7,94.6,2.2,2.3,88.6,35.2,35.2
"Robertson County, Tennessee",14.2,13.7,40.8,6.8,3.8,8.0,39.1,13.4,88.2,19.1,20.3,84.3,16.5,26.4,16.9,74.9,19.5,8.8,89.6,20.6,21.4,72.4,N,N,N,N,N,N,4,12,4.6,1.9,4.0,79.9,34.1,1.8,13.6,2,89.9,0.6,1.8,83.9,47.6,48.2
"Rutherford County, Tennessee",6.6,7.8,45.5,12.8,2.5,4.3,27.3,21.4,93.2,30.1,33.5,96.5,29.1,38.4,31.8,87.1,34.3,21.6,94.6,31.2,35.0,96.3,31.3,22.6,N,77,8,52.2,9.5,12.4,6.8,6.3,3.5,84.5,24.1,2.1,7.7,3.4,77.6,3.4,3.2,71.8,35.9,36.0
"Sevier County, Tennessee",18.5,20.6,34.1,4.8,4.5,7.6,38.5,12.9,87.9,19.2,17.3,89.5,13.7,13.4,17.5,81.2,22.5,21.8,87.7,20.6,17.8,N,N,N,N,N,N,N,0,5.2,13.4,8.2,6.8,78.6,39.3,2.8,8.1,2.6,95.1,0.5,2.8,N,35.7,35.4
"Shelby County, Tennessee",13.7,10.1,51.2,9.6,3.7,6.8,24.6,19.3,89.5,30.4,31.1,90.9,28.3,36.8,31.5,82.4,33.5,21.8,95.4,48.0,41.1,82.6,64,59.2,N,44.1,6.6,37.8,10.1,15.9,18.1,8.9,5.8,79.4,25.9,1.9,11.9,2.5,38.6,2.4,2,36,38.1,39.3
"Sullivan County, Tennessee",16.8,20.0,33.1,7.9,4.8,8.9,37.0,11.9,86.2,20.5,19.3,88.6,14.1,18.1,21.7,80.6,22.5,12.3,86.5,20.8,19.4,90.2,N,N,N,N,N,N,N,N,15.6,7.4,1.0,69.9,42.6,4.8,10.1,1.4,94.4,0.4,2.2,93.6,29.5,29.1
"Sumner County, Tennessee",14.0,17.3,44.7,9.8,3.2,5.1,31.4,19.1,91.8,27.0,27.0,95.4,28.7,44.8,24.5,85.2,27.9,16.7,93.2,26.8,27.4,92.4,N,N,N,N,N,N,26.8,27.8,5.2,4.3,1.0,79.1,31.1,1.7,8,2.3,89.1,1.3,1.9,85,37.9,37.4
"Washington County, Tennessee",7.3,7.1,56.2,13.0,2.8,7.9,32.4,18.7,89.3,29.7,33.6,94.1,34.2,37.9,36.6,82.5,25.9,24.3,89.8,30.4,33.6,N,N,N,N,N,N,N,N,N,12.0,6.0,5.0,74.4,37.5,2.4,8.4,0.7,91.5,1.6,1.7,89,38.6,39.0
"Williamson County, Tennessee",22.5,25.4,26.5,21.7,2.1,3.6,14.6,38.7,94.3,57.4,54.5,92.5,50.0,63.4,57.8,94.8,54.9,31.1,96.0,58.8,54.9,80.1,N,N,N,N,N,N,16.2,31.8,4.3,2.9,3.2,86.9,24.1,0.5,6.6,1,88.8,4.1,2.1,84.9,28.6,29.3
"Wilson County, Tennessee",12.9,17.7,30.9,12.3,2.8,7.0,26.0,18.7,90.2,28.0,30.2,98.3,31.1,42.5,27.7,82.0,23.3,14.5,91.7,26.9,29.7,85.7,19.1,35.4,N,N,N,N,50,34.9,5.8,3.6,5.0,81.5,34.0,1.2,6.1,2.5,88.8,1.8,1.1,85.7,41.1,42.0
"Angelina County, Texas",10.4,4.9,51.7,4.7,9.0,11.6,25.6,11.0,79.4,15.3,16.3,95.2,21.2,22.8,22.1,73.7,22.8,11.8,87.2,17.1,17.1,80.9,N,N,N,N,N,N,9.9,17.5,18.3,7.9,8.7,71.8,35.9,2.0,8.1,1.2,77.4,1.1,0.7,61,31.9,35.9
"Bastrop County, Texas",28.1,30.4,26.7,0.8,9.4,6.6,26.7,9.6,84.0,13.7,26.6,89.5,0.0,34.7,24.6,73.9,25.0,21.4,95.3,20.6,33.7,N,N,N,N,67,0,N,2.4,6.8,3.9,4.3,0.0,70.2,37.7,1.3,14,4.3,71.3,1.6,2.3,N,43.7,46.1
"Bell County, Texas",12.7,13.6,48.1,7.4,4.1,6.7,25.1,14.9,89.1,22.8,21.9,90.6,17.3,18.6,21.1,80.2,29.2,18.8,93.1,28.5,27.1,89.8,58.3,23.3,N,76.7,16.1,17.4,13.1,11.8,11.6,4.7,3.6,81.6,23.3,1.3,9.7,2.3,63.9,2.8,5.6,46.5,29.8,32.8
"Bexar County, Texas",13.4,12.9,44.7,8.1,7.8,9.1,25.4,17.0,83.0,27.6,28.2,89.7,24.1,33.3,27.3,72.6,29.9,18.0,94.5,44.1,42.8,88.3,55.5,47.1,N,68.6,12.8,28.6,16.9,18.4,12.5,9.4,5.7,81.4,26.7,1.5,12.6,3.9,78.9,2.9,2.8,28.1,36.3,37.0
"Bowie County, Texas",18.8,10.4,47.4,1.0,2.8,7.3,34.5,14.1,89.9,20.0,22.2,97.7,10.5,17.5,21.4,85.1,34.1,23.5,90.7,23.4,25.0,81.2,N,N,N,N,N,N,N,N,9.8,9.2,6.6,73.1,32.9,0.6,9.2,0.4,70.2,1.3,2.7,64,36.4,37.5
"Brazoria County, Texas",12.7,6.0,42.1,8.7,4.7,6.0,27.7,16.2,89.2,26.4,28.6,93.2,20.4,33.5,28.2,81.8,33.4,19.2,94.3,26.6,27.0,92.8,73.1,68.8,N,60.3,4.1,N,10.5,13.7,9.1,6.9,1.8,82.7,24.6,0.9,11.6,4.2,74.8,6.5,2.1,48.5,32.8,36.1
