Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Norfolk County, Massachusetts",697181,*****,15120,3080
"Plymouth County, Massachusetts",513565,*****,8312,1662
"Suffolk County, Massachusetts",784230,*****,54538,7280
"Worcester County, Massachusetts",819589,*****,16485,2120
"Allegan County, Michigan",115548,*****,2791,613
"Bay County, Michigan",104747,*****,1945,549
"Berrien County, Michigan",154010,*****,4785,1289
"Calhoun County, Michigan",134386,*****,6041,1625
"Clinton County, Michigan",77888,*****,1440,383
"Eaton County, Michigan",109160,*****,3817,1153
"Genesee County, Michigan",408615,*****,13034,2440
"Grand Traverse County, Michigan",92084,*****,1893,760
"Ingham County, Michigan",288051,*****,13417,2489
"Isabella County, Michigan",71282,*****,3849,765
"Jackson County, Michigan",158460,*****,3512,1044
"Kalamazoo County, Michigan",261654,*****,11040,2131
"Kent County, Michigan",642173,*****,23093,3618
"Lapeer County, Michigan",88340,*****,1303,396
"Lenawee County, Michigan",98504,*****,1916,578
"Livingston County, Michigan",188624,*****,2448,564
"Macomb County, Michigan",867730,*****,20379,2902
"Marquette County, Michigan",66435,*****,2646,342
"Midland County, Michigan",83462,*****,1752,705
"Monroe County, Michigan",149208,*****,1794,865
"Muskegon County, Michigan",173408,*****,5668,1464
"Oakland County, Michigan",1243970,*****,38044,5154
"Ottawa County, Michigan",282250,*****,8230,1218
"Saginaw County, Michigan",192326,*****,4856,1577
"St. Clair County, Michigan",159587,*****,3708,852
"Shiawassee County, Michigan",68554,*****,1247,226
"Van Buren County, Michigan",75223,*****,2584,475
"Washtenaw County, Michigan",364709,*****,16102,3360
"Wayne County, Michigan",1749366,*****,42463,6054
"Anoka County, Minnesota",345957,*****,10155,2204
"Blue Earth County, Minnesota",66441,*****,1544,845
"Carver County, Minnesota",100262,*****,1124,619
"Dakota County, Minnesota",417486,*****,12609,1955
"Hennepin County, Minnesota",1232483,*****,39844,4410
"Olmsted County, Minnesota",153102,*****,2692,1134
"Ramsey County, Minnesota",540649,*****,24764,3868
"Rice County, Minnesota",65622,*****,1416,1020
"St. Louis County, Minnesota",199980,*****,4131,774
"Scott County, Minnesota",143680,*****,5087,1511
"Sherburne County, Minnesota",93528,*****,2143,757
"Stearns County, Minnesota",155652,*****,2055,906
"Washington County, Minnesota",253117,*****,6333,1635
"Wright County, Minnesota",132550,*****,1486,861
"DeSoto County, Mississippi",175611,*****,2485,1295
"Harrison County, Mississippi",203234,*****,5208,2042
"Hinds County, Mississippi",241229,*****,1129,549
"Jackson County, Mississippi",141241,*****,1889,1144
"Lee County, Mississippi",85381,*****,1390,919
"Madison County, Mississippi",105114,*****,1007,831
"Rankin County, Mississippi",150228,*****,965,508
"Boone County, Missouri",176594,*****,4853,1698
"Buchanan County, Missouri",88938,*****,3112,1260
"Cape Girardeau County, Missouri",78913,*****,2199,1261
"Cass County, Missouri",102845,*****,3692,761
"Clay County, Missouri",239085,*****,5626,1206
"Cole County, Missouri",76631,*****,1846,1025
"Franklin County, Missouri",102838,*****,1330,652
"Greene County, Missouri",288690,*****,6807,1491
"Jackson County, Missouri",691801,*****,20877,4197
"Jasper County, Missouri",119111,*****,2441,1078
"Jefferson County, Missouri",224226,*****,2895,1062
"Platte County, Missouri",98309,*****,2626,791
"St. Charles County, Missouri",390918,*****,8710,2353
"St. Louis County, Missouri",998581,*****,24206,3774
"St. Louis city, Missouri",311404,*****,6174,1748
"Cascade County, Montana",81755,*****,3313,1014
"Flathead County, Montana",98082,*****,2948,842
"Gallatin County, Montana",104502,*****,2195,765
"Lewis and Clark County, Montana",67282,*****,2009,718
"Missoula County, Montana",116130,*****,3077,1145
"Yellowstone County, Montana",158437,*****,4992,1563
"Douglas County, Nebraska",554995,*****,15525,2170
"Lancaster County, Nebraska",309637,*****,9548,3092
"Sarpy County, Nebraska",179023,*****,5698,1045
"Clark County, Nevada",2155664,*****,92321,7763
"Washoe County, Nevada",453616,*****,17107,3377
"Cheshire County, New Hampshire",75774,*****,1143,458
"Grafton County, New Hampshire",88888,*****,1588,724
"Hillsborough County, New Hampshire",407761,*****,9054,1843
"Merrimack County, New Hampshire",148582,*****,3676,982
"Rockingham County, New Hampshire",303251,*****,4921,1018
"Strafford County, New Hampshire",127428,*****,2403,615
"Atlantic County, New Jersey",270991,*****,4878,1745
"Bergen County, New Jersey",939151,*****,23010,3942
"Burlington County, New Jersey",449284,*****,14953,2250
"Camden County, New Jersey",510150,*****,12373,2847
"Cape May County, New Jersey",94430,*****,2593,1491
"Cumberland County, New Jersey",153797,*****,4974,1637
"Essex County, New Jersey",796914,*****,17581,4401
"Gloucester County, New Jersey",292330,*****,6453,1826
"Hudson County, New Jersey",677983,*****,15631,2725
