365,"Sherburne County, Minnesota",93528
366,"Stearns County, Minnesota",155652
367,"Washington County, Minnesota",253117
368,"Wright County, Minnesota",132550
369,"DeSoto County, Mississippi",175611
370,"Forrest County, Mississippi",75979
371,"Harrison County, Mississippi",203234
372,"Hinds County, Mississippi",241229
373,"Jackson County, Mississippi",141241
374,"Jones County, Mississippi",67953
375,"Lauderdale County, Mississippi",77755
376,"Lee County, Mississippi",85381
377,"Madison County, Mississippi",105114
378,"Rankin County, Mississippi",150228
379,"Boone County, Missouri",176594
380,"Buchanan County, Missouri",88938
381,"Cape Girardeau County, Missouri",78913
382,"Cass County, Missouri",102845
383,"Christian County, Missouri",84401
384,"Clay County, Missouri",239085
385,"Cole County, Missouri",76631
386,"Franklin County, Missouri",102838
387,"Greene County, Missouri",288690
388,"Jackson County, Missouri",691801
389,"Jasper County, Missouri",119111
390,"Jefferson County, Missouri",224226
391,"Platte County, Missouri",98309
392,"St. Charles County, Missouri",390918
393,"St. Francois County, Missouri",66627
394,"St. Louis County, Missouri",998581
395,"St. Louis city, Missouri",311404
396,"Cascade County, Montana",81755
397,"Flathead County, Montana",98082
398,"Gallatin County, Montana",104502
399,"Lewis and Clark County, Montana",67282
400,"Missoula County, Montana",116130
401,"Yellowstone County, Montana",158437
402,"Douglas County, Nebraska",554995
403,"Lancaster County, Nebraska",309637
404,"Sarpy County, Nebraska",179023
405,"Clark County, Nevada",2155664
406,"Washoe County, Nevada",453616
407,"Cheshire County, New Hampshire",75774
408,"Grafton County, New Hampshire",88888
409,"Hillsborough County, New Hampshire",407761
410,"Merrimack County, New Hampshire",148582
411,"Rockingham County, New Hampshire",303251
412,"Strafford County, New Hampshire",127428
413,"Atlantic County, New Jersey",270991
414,"Bergen County, New Jersey",939151
415,"Burlington County, New Jersey",449284
416,"Camden County, New Jersey",510150
417,"Cape May County, New Jersey",94430
418,"Cumberland County, New Jersey",153797
419,"Essex County, New Jersey",796914
420,"Gloucester County, New Jersey",292330
421,"Hudson County, New Jersey",677983
422,"Hunterdon County, New Jersey",124676
423,"Mercer County, New Jersey",371023
424,"Middlesex County, New Jersey",837073
425,"Monmouth County, New Jersey",625846
426,"Morris County, New Jersey",498423
427,"Ocean County, New Jersey",592497
428,"Passaic County, New Jersey",507945
429,"Salem County, New Jersey",63436
430,"Somerset County, New Jersey",333751
431,"Sussex County, New Jersey",142522
432,"Union County, New Jersey",555630
433,"Warren County, New Jersey",106617
434,"Bernalillo County, New Mexico",676953
435,"Chaves County, New Mexico",65282
436,"Do–a Ana County, New Mexico",214207
437,"Lea County, New Mexico",69749
438,"McKinley County, New Mexico",74923
439,"Otero County, New Mexico",65410
440,"Sandoval County, New Mexico",142025
441,"San Juan County, New Mexico",115079
442,"Santa Fe County, New Mexico",148651
443,"Valencia County, New Mexico",75626
444,"Albany County, New York",308846
445,"Bronx County, New York",1455720
446,"Broome County, New York",195334
447,"Cattaraugus County, New York",77677
448,"Cayuga County, New York",77861
449,"Chautauqua County, New York",129504
450,"Chemung County, New York",86322
451,"Clinton County, New York",81073
452,"Dutchess County, New York",294473
453,"Erie County, New York",921046
454,"Jefferson County, New York",114006
455,"Kings County, New York",2629150
456,"Livingston County, New York",64257
457,"Madison County, New York",71329
458,"Monroe County, New York",747727
459,"Nassau County, New York",1361500
460,"New York County, New York",1643734
461,"Niagara County, New York",211758
462,"Oneida County, New York",231190
463,"Onondaga County, New York",466194
464,"Ontario County, New York",109828
465,"Orange County, New York",379210
466,"Oswego County, New York",118987
467,"Putnam County, New York",98900
468,"Queens County, New York",2333054
469,"Rensselaer County, New York",160070
470,"Richmond County, New York",476015
471,"Rockland County, New York",326780
472,"St. Lawrence County, New York",110038
473,"Saratoga County, New York",227053
474,"Schenectady County, New York",154553
475,"Steuben County, New York",96940
476,"Suffolk County, New York",1492583
477,"Sullivan County, New York",74801
478,"Tompkins County, New York",104871
479,"Ulster County, New York",179225
480,"Warren County, New York",64567
481,"Wayne County, New York",90798
482,"Westchester County, New York",974542
483,"Alamance County, North Carolina",159688
484,"Brunswick County, North Carolina",126953
485,"Buncombe County, North Carolina",256088
486,"Burke County, North Carolina",88851
487,"Cabarrus County, North Carolina",201590
488,"Caldwell County, North Carolina",81449
489,"Carteret County, North Carolina",68890
490,"Catawba County, North Carolina",156459
491,"Chatham County, North Carolina",72243
492,"Cleveland County, North Carolina",97144
493,"Craven County, North Carolina",103445
494,"Cumberland County, North Carolina",327127
495,"Davidson County, North Carolina",164926
496,"Durham County, North Carolina",306212
497,"Forsyth County, North Carolina",371511
498,"Gaston County, North Carolina",216965
499,"Guilford County, North Carolina",521330
500,"Harnett County, North Carolina",130881
501,"Henderson County, North Carolina",114209
502,"Iredell County, North Carolina",172916
503,"Johnston County, North Carolina",191450
504,"Lincoln County, North Carolina",81168
505,"Mecklenburg County, North Carolina",1054835
506,"Moore County, North Carolina",95776
507,"Nash County, North Carolina",94005
508,"New Hanover County, North Carolina",223483
509,"Onslow County, North Carolina",187136
510,"Orange County, North Carolina",141796
511,"Pitt County, North Carolina",177220
512,"Randolph County, North Carolina",143416
513,"Robeson County, North Carolina",133235
514,"Rockingham County, North Carolina",91393
515,"Rowan County, North Carolina",139933
516,"Rutherford County, North Carolina",66421
517,"Surry County, North Carolina",72113
518,"Union County, North Carolina",226606
519,"Wake County, North Carolina",1046791
520,"Wayne County, North Carolina",124150
521,"Wilkes County, North Carolina",68740
522,"Wilson County, North Carolina",81661
523,"Burleigh County, North Dakota",94487
524,"Cass County, North Dakota",175249
525,"Grand Forks County, North Dakota",71083
526,"Ward County, North Dakota",70210
527,"Allen County, Ohio",103742
528,"Ashtabula County, Ohio",98231
529,"Athens County, Ohio",66186
530,"Belmont County, Ohio",68673
531,"Butler County, Ohio",377537
532,"Clark County, Ohio",134786
533,"Clermont County, Ohio",203022
534,"Columbiana County, Ohio",103685
535,"Cuyahoga County, Ohio",1249352
536,"Delaware County, Ohio",196463
537,"Erie County, Ohio",75107
538,"Fairfield County, Ohio",152597
539,"Franklin County, Ohio",1264518
540,"Geauga County, Ohio",94060
541,"Greene County, Ohio",164765
542,"Hamilton County, Ohio",809099
543,"Hancock County, Ohio",75872
544,"Jefferson County, Ohio",66704
545,"Lake County, Ohio",228614
546,"Licking County, Ohio",172198
547,"Lorain County, Ohio",306365
548,"Lucas County, Ohio",432488
549,"Mahoning County, Ohio",230008
550,"Marion County, Ohio",65096
551,"Medina County, Ohio",177221
552,"Miami County, Ohio",104679
553,"Montgomery County, Ohio",531239
554,"Muskingum County, Ohio",86068
555,"Portage County, Ohio",161921
556,"Richland County, Ohio",121107
557,"Ross County, Ohio",77000
558,"Scioto County, Ohio",76088
559,"Stark County, Ohio",373612
560,"Summit County, Ohio",540300
561,"Trumbull County, Ohio",201825
562,"Tuscarawas County, Ohio",92420
563,"Warren County, Ohio",227063
564,"Wayne County, Ohio",116470
565,"Wood County, Ohio",130219
566,"Canadian County, Oklahoma",136532
567,"Cleveland County, Oklahoma",278655
568,"Comanche County, Oklahoma",122136
569,"Creek County, Oklahoma",71312
570,"Muskogee County, Oklahoma",69477
571,"Oklahoma County, Oklahoma",782970
572,"Payne County, Oklahoma",81131
573,"Pottawatomie County, Oklahoma",72290
574,"Rogers County, Oklahoma",91766
575,"Tulsa County, Oklahoma",642940
576,"Wagoner County, Oklahoma",77679
577,"Benton County, Oregon",89385
578,"Clackamas County, Oregon",408062
579,"Deschutes County, Oregon",181307
580,"Douglas County, Oregon",108457
581,"Jackson County, Oregon",216527
582,"Josephine County, Oregon",85904
583,"Klamath County, Oregon",66443
584,"Lane County, Oregon",369519
585,"Linn County, Oregon",122849
