Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
"Washington County, Arkansas",204057,163956,6970,2239,4637,4205,17155,4895,698,4197
"White County, Arkansas",77007,70618,3246,186,263,12,1006,1676,107,1569
"Woodruff County, Arkansas",7262,5034,2086,13,0,7,15,107,5,102
"Yell County, Arkansas",22033,18553,273,37,315,0,2527,328,4,324
"Alameda County, California",1515136,695847,185614,8456,400465,12674,127772,84308,17460,66848
"Alpine County, California",1197,852,0,236,32,22,40,15,9,6
"Amador County, California",37764,33302,985,778,486,49,1239,925,58,867
"Butte County, California",220101,184653,3206,2276,9241,411,7128,13186,2010,11176
"Calaveras County, California",45507,41343,476,438,638,20,1081,1511,208,1303
"Colusa County, California",21329,15448,177,259,223,45,3979,1198,351,847
"Contra Costa County, California",1052047,670524,96210,4656,152283,4860,70257,53257,8784,44473
"Del Norte County, California",28496,21248,1085,1545,866,139,1867,1746,78,1668
"El Dorado County, California",180441,157401,1354,1790,6183,104,7018,6591,900,5691
"Fresno County, California",930517,546915,47376,9490,88770,1278,199019,37669,13970,23699
"Glenn County, California",28078,22848,236,742,680,4,2639,929,456,473
"Humboldt County, California",134317,111415,1647,7739,3205,467,3210,6634,1511,5123
"Imperial County, California",173487,120511,5643,2724,2680,151,36040,5738,2921,2817
"Inyo County, California",18474,14805,165,1943,269,99,880,313,16,297
"Kern County, California",839153,599768,46649,9776,34451,1052,116770,30687,8832,21855
"Kings County, California",151982,110937,10470,1901,5737,278,16561,6098,1881,4217
"Lake County, California",64360,53781,1495,1996,719,118,3992,2259,322,1937
"Lassen County, California",34628,24395,2931,1191,451,224,4111,1325,487,838
"Los Angeles County, California",9840024,5229697,839837,49624,1360561,25973,1983608,350724,106026,244698
